arm	feature_subset	n_scenario	n_pathogenic	n_benign	n_total	point_estimate	ci_low	ci_high	b_replicates	true_reference_lr	acmg_tier	acmg_points
CORE_HR	LOH_GIS_SBS3	SYNTHETIC_FULL_N	1848	1848	3696	101.240291	71.274566	158.671059	500	92.625192	PATHOGENIC_STRONG	4
CORE_HR	LOH_GIS	SYNTHETIC_FULL_N	1848	1848	3696	14.685146	11.812741	17.930487	500	16.408376	PATHOGENIC_MODERATE	2
CORE_HR	LOH_SBS3	SYNTHETIC_FULL_N	1848	1848	3696	30.103026	22.410231	42.562494	500	25.291901	PATHOGENIC_STRONG	4
CORE_HR	GIS_SBS3	SYNTHETIC_FULL_N	1848	1848	3696	23.1856	17.141387	33.509155	500	20.673365	PATHOGENIC_MODERATE	2
DDR_SIGNALING	LOH_GIS_SBS3	SYNTHETIC_FULL_N	1848	1848	3696	19.945829	14.100661	28.593374	500	22.794454	PATHOGENIC_MODERATE	2
DDR_SIGNALING	LOH_GIS	SYNTHETIC_FULL_N	1848	1848	3696	5.47155	4.534795	6.748257	500	5.821263	PATHOGENIC_MODERATE	2
DDR_SIGNALING	LOH_SBS3	SYNTHETIC_FULL_N	1848	1848	3696	8.164778	6.463441	10.997389	500	8.369265	PATHOGENIC_MODERATE	2
DDR_SIGNALING	GIS_SBS3	SYNTHETIC_FULL_N	1848	1848	3696	8.905318	6.907965	12.465758	500	10.664828	PATHOGENIC_MODERATE	2
CORE_HR	LOH_GIS_SBS3	REALISTIC_N_55	55	55	110	290.787223	56.194326	42041.155737	2000	92.625192	PATHOGENIC_STRONG	4
CORE_HR	LOH_GIS	REALISTIC_N_55	55	55	110	12.445244	5.943185	42.179406	2000	16.408376	PATHOGENIC_MODERATE	2
CORE_HR	LOH_SBS3	REALISTIC_N_55	55	55	110	103.475026	29.180998	10475.879201	2000	25.291901	PATHOGENIC_STRONG	4
CORE_HR	GIS_SBS3	REALISTIC_N_55	55	55	110	65.661631	14.57967	8954.003649	2000	20.673365	PATHOGENIC_MODERATE	2
CORE_HR	LOH_GIS_SBS3	REALISTIC_N_75	75	75	150	73.143165	22.320486	553.301004	2000	92.625192	PATHOGENIC_STRONG	4
CORE_HR	LOH_GIS	REALISTIC_N_75	75	75	150	15.32062	7.241187	52.576111	2000	16.408376	PATHOGENIC_MODERATE	2
CORE_HR	LOH_SBS3	REALISTIC_N_75	75	75	150	21.7951	9.419087	123.76974	2000	25.291901	PATHOGENIC_MODERATE	2
CORE_HR	GIS_SBS3	REALISTIC_N_75	75	75	150	16.021836	5.963188	96.764526	2000	20.673365	PATHOGENIC_MODERATE	2
DDR_SIGNALING	LOH_GIS_SBS3	REALISTIC_N_25	25	25	50	19.548323	3.9531	1706.16109	2000	22.794454	PATHOGENIC_SUPPORTING	1
DDR_SIGNALING	LOH_GIS	REALISTIC_N_25	25	25	50	4.245019	1.540712	17.11454	2000	5.821263	NO_EVIDENCE	0
DDR_SIGNALING	LOH_SBS3	REALISTIC_N_25	25	25	50	10.131006	2.637601	1063.900692	2000	8.369265	PATHOGENIC_SUPPORTING	1
DDR_SIGNALING	GIS_SBS3	REALISTIC_N_25	25	25	50	8.885601	2.436169	1299.268559	2000	10.664828	PATHOGENIC_SUPPORTING	1
DDR_SIGNALING	LOH_GIS_SBS3	REALISTIC_N_35	35	35	70	11016.606573	759.621885	3645407853.257834	2000	22.794454	PATHOGENIC_VERY_STRONG	8
DDR_SIGNALING	LOH_GIS	REALISTIC_N_35	35	35	70	15.346437	5.533884	193.758484	2000	5.821263	PATHOGENIC_MODERATE	2
DDR_SIGNALING	LOH_SBS3	REALISTIC_N_35	35	35	70	2043.142403	140.725971	829708341.623159	2000	8.369265	PATHOGENIC_STRONG	4
DDR_SIGNALING	GIS_SBS3	REALISTIC_N_35	35	35	70	3870.699607	315.443762	14110251043.700428	2000	10.664828	PATHOGENIC_STRONG	4
CORE_HR	LOH_GIS_SBS3	SYNTHETIC_SUBTYPE_LumA	845	809	1654	82.311297	53.282966	142.455444	500	92.625192	PATHOGENIC_STRONG	4
CORE_HR	LOH_GIS	SYNTHETIC_SUBTYPE_LumA	845	809	1654	14.358552	10.571467	19.698295	500	16.408376	PATHOGENIC_MODERATE	2
CORE_HR	LOH_SBS3	SYNTHETIC_SUBTYPE_LumA	845	809	1654	23.735085	16.813961	37.600674	500	25.291901	PATHOGENIC_MODERATE	2
CORE_HR	GIS_SBS3	SYNTHETIC_SUBTYPE_LumA	845	809	1654	19.880049	13.01879	31.822995	500	20.673365	PATHOGENIC_MODERATE	2
CORE_HR	LOH_GIS_SBS3	SYNTHETIC_SUBTYPE_LumB	461	430	891	94.421052	51.323855	184.860689	500	92.625192	PATHOGENIC_STRONG	4
CORE_HR	LOH_GIS	SYNTHETIC_SUBTYPE_LumB	461	430	891	13.758626	9.701445	20.550029	500	16.408376	PATHOGENIC_MODERATE	2
CORE_HR	LOH_SBS3	SYNTHETIC_SUBTYPE_LumB	461	430	891	28.596482	18.432475	50.481568	500	25.291901	PATHOGENIC_MODERATE	2
CORE_HR	GIS_SBS3	SYNTHETIC_SUBTYPE_LumB	461	430	891	22.659483	13.359606	46.395594	500	20.673365	PATHOGENIC_MODERATE	2
CORE_HR	LOH_GIS_SBS3	SYNTHETIC_SUBTYPE_HER2E	214	242	456	134.218866	52.997937	587.494403	500	92.625192	PATHOGENIC_STRONG	4
CORE_HR	LOH_GIS	SYNTHETIC_SUBTYPE_HER2E	214	242	456	11.044294	6.958635	18.065248	500	16.408376	PATHOGENIC_MODERATE	2
CORE_HR	LOH_SBS3	SYNTHETIC_SUBTYPE_HER2E	214	242	456	50.363377	23.182459	176.078077	500	25.291901	PATHOGENIC_STRONG	4
CORE_HR	GIS_SBS3	SYNTHETIC_SUBTYPE_HER2E	214	242	456	32.387268	13.413785	149.969199	500	20.673365	PATHOGENIC_MODERATE	2
