gene_group	gene	pam50_subtype	gene_case_prevalence_fraction	subtype_fraction_of_cohort	subtype_fraction_n_of_951	purity_survival_at_0.40_floor	target_class_size_majority_informative_dim3	required_total_cohort_n_majority_informative_dim3	target_class_size_fully_informative_dim3	required_total_cohort_n_fully_informative_dim3	gene_case_prevalence_pct_source
CORE_HR	BRCA1	Basal	0.0085	0.1703	162	0.821	65	54679	160	134593	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	BRCA1	Her2	0.0085	0.081	77	0.714	65	132278	160	325606	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	BRCA1	LumA	0.0085	0.5121	487	0.836	65	17862	160	43969	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	BRCA1	LumB	0.0085	0.205	195	0.944	65	39506	160	97247	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	BRCA1	Normal	0.0085	0.0315	30	0.5	65	484824	160	1193412	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	BRCA2	Basal	0.0129	0.1703	162	0.821	65	36028	160	88685	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	BRCA2	Her2	0.0129	0.081	77	0.714	65	87160	160	214547	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	BRCA2	LumA	0.0129	0.5121	487	0.836	65	11770	160	28972	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	BRCA2	LumB	0.0129	0.205	195	0.944	65	26031	160	64077	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	BRCA2	Normal	0.0129	0.0315	30	0.5	65	319457	160	786357	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	PALB2	Basal	0.0046	0.1703	162	0.821	65	101036	160	248705	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	PALB2	Her2	0.0046	0.081	77	0.714	65	244426	160	601664	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	PALB2	LumA	0.0046	0.5121	487	0.836	65	33007	160	81247	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	PALB2	LumB	0.0046	0.205	195	0.944	65	73001	160	179695	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	PALB2	Normal	0.0046	0.0315	30	0.5	65	895870	160	2205217	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	RAD51C	Basal	0.0013	0.1703	162	0.821	65	357513	160	880033	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	RAD51C	Her2	0.0013	0.081	77	0.714	65	864891	160	2128963	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	RAD51C	LumA	0.0013	0.5121	487	0.836	65	116793	160	287489	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	RAD51C	LumB	0.0013	0.205	195	0.944	65	258312	160	635844	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	RAD51C	Normal	0.0013	0.0315	30	0.5	65	3170000	160	7803077	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	RAD51D	Basal	0.0008	0.1703	162	0.821	65	580959	160	1430054	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	RAD51D	Her2	0.0008	0.081	77	0.714	65	1405449	160	3459566	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	RAD51D	LumA	0.0008	0.5121	487	0.836	65	189788	160	467170	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	RAD51D	LumB	0.0008	0.205	195	0.944	65	419756	160	1033246	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	RAD51D	Normal	0.0008	0.0315	30	0.5	65	5151250	160	12680000	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
DDR_SIGNALING	ATM	Basal	0.0078	0.1703	162	0.821	65	59586	160	146672	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
DDR_SIGNALING	ATM	Her2	0.0078	0.081	77	0.714	65	144149	160	354827	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
DDR_SIGNALING	ATM	LumA	0.0078	0.5121	487	0.836	65	19465	160	47915	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
DDR_SIGNALING	ATM	LumB	0.0078	0.205	195	0.944	65	43052	160	105974	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
DDR_SIGNALING	ATM	Normal	0.0078	0.0315	30	0.5	65	528333	160	1300513	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
DDR_SIGNALING	CHEK2	Basal	0.0108	0.1703	162	0.821	65	43034	160	105930	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
DDR_SIGNALING	CHEK2	Her2	0.0108	0.081	77	0.714	65	104107	160	256264	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
DDR_SIGNALING	CHEK2	LumA	0.0108	0.5121	487	0.836	65	14058	160	34605	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
DDR_SIGNALING	CHEK2	LumB	0.0108	0.205	195	0.944	65	31093	160	76537	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
DDR_SIGNALING	CHEK2	Normal	0.0108	0.0315	30	0.5	65	381574	160	939259	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	BRCA1	POOLED	0.0085	1.0	951	0.8349	65	9159	160	22546	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
CORE_HR	BRCA2	POOLED	0.0129	1.0	951	0.8349	65	6035	160	14856	Hu C et al., NEJM 2021;384:440-451 (CARRIERS consortium, population-based, 32247 cases/32544 controls, WebSearch-synthesized, direct fetch EGRESS_BLOCKED)
