producer	call_kind	line	output_path	normalized_path	dynamic	shared_with_other_producer	known_sanctioned_exception	other_producers
estimator_joint_vs_product_test.py	open()	186	REPO_ROOT/SIMULATED_ESTIMATOR_JOINT_VS_PRODUCT_TEST.tsv	SIMULATED_ESTIMATOR_JOINT_VS_PRODUCT_TEST.tsv	True	False	False	
estimator_joint_vs_product_test.py	open()	213	REPO_ROOT/SIMULATED_ESTIMATOR_JOINT_VS_PRODUCT_TEST_REPLICATES.tsv	SIMULATED_ESTIMATOR_JOINT_VS_PRODUCT_TEST_REPLICATES.tsv	True	False	False	
estimator_joint_vs_product_test_v2.py	open()	159	REPO_ROOT/SIMULATED_ESTIMATOR_JOINT_VS_PRODUCT_TEST_V2.tsv	SIMULATED_ESTIMATOR_JOINT_VS_PRODUCT_TEST_V2.tsv	True	False	False	
estimator_joint_vs_product_test_v2.py	open()	197	REPO_ROOT/SIMULATED_ESTIMATOR_JOINT_VS_PRODUCT_TEST_V2_REPLICATES.tsv	SIMULATED_ESTIMATOR_JOINT_VS_PRODUCT_TEST_V2_REPLICATES.tsv	True	False	False	
estimator_underflow_bandwidth_diagnosis.py	open()	177	REPO_ROOT/SIMULATED_FAILURE_MODE_RECONCILIATION.tsv	SIMULATED_FAILURE_MODE_RECONCILIATION.tsv	True	False	False	
estimator_underflow_bandwidth_diagnosis.py	open()	189	REPO_ROOT/SIMULATED_KDE_BANDWIDTH_MECHANISM.tsv	SIMULATED_KDE_BANDWIDTH_MECHANISM.tsv	True	False	False	
generate_reachability_table.py	open()	133	REPO_ROOT/REACHABILITY_TABLE.tsv	REACHABILITY_TABLE.tsv	True	False	False	
interval_instability_sweep.py	open()	97	REPO_ROOT/SIMULATED_INTERVAL_INSTABILITY_SWEEP.tsv	SIMULATED_INTERVAL_INSTABILITY_SWEEP.tsv	True	False	False	
interval_instability_sweep_v2.py	open()	153	REPO_ROOT/SIMULATED_INTERVAL_INSTABILITY_SWEEP_V2.tsv	SIMULATED_INTERVAL_INSTABILITY_SWEEP_V2.tsv	True	False	False	
logistic_calibration_and_loglinearity.py	open()	145	REPO_ROOT/SIMULATED_CALIBRATION_RESULTS.tsv	SIMULATED_CALIBRATION_RESULTS.tsv	True	False	False	
logistic_calibration_and_loglinearity.py	open()	163	REPO_ROOT/SIMULATED_LOGLINEARITY_RESIDUAL_GRID.tsv	SIMULATED_LOGLINEARITY_RESIDUAL_GRID.tsv	True	False	False	
logistic_calibration_and_loglinearity.py	open()	180	REPO_ROOT/SIMULATED_LOGLINEARITY_NESTED_COMPARISON.tsv	SIMULATED_LOGLINEARITY_NESTED_COMPARISON.tsv	True	False	False	
loh_caller.py	write_tsv()	589	OUT_DIR/SIMULATED_loh_calls.tsv	OUT_DIR/SIMULATED_loh_calls.tsv	True	False	False	
loh_caller.py	write_tsv()	597	OUT_DIR/SIMULATED_confusion_matrix.tsv	OUT_DIR/SIMULATED_confusion_matrix.tsv	True	False	False	
loh_caller.py	write_tsv()	600	OUT_DIR/SIMULATED_rates_table.tsv	OUT_DIR/SIMULATED_rates_table.tsv	True	False	False	
loh_caller.py	write_tsv()	605	OUT_DIR/SIMULATED_recovered_quantities.tsv	OUT_DIR/SIMULATED_recovered_quantities.tsv	True	False	False	
loh_caller.py	write_tsv()	608	OUT_DIR/SIMULATED_recovery_scope.tsv	OUT_DIR/SIMULATED_recovery_scope.tsv	True	False	False	
production_v2_run.py	open()	225	OUT_DIR/SIMULATED_LR_TABLE.tsv	OUT_DIR/SIMULATED_LR_TABLE.tsv	True	False	False	
production_v2_run.py	open()	236	OUT_DIR/SIMULATED_RECOVERED.tsv	OUT_DIR/SIMULATED_RECOVERED.tsv	True	False	False	
production_v2_run.py	open()	247	OUT_DIR/SIMULATED_scope.tsv	OUT_DIR/SIMULATED_scope.tsv	True	False	False	
production_v2_run.py	open()	270	OUT_DIR/SIMULATED_ABLATION_TABLE_V2.tsv	OUT_DIR/SIMULATED_ABLATION_TABLE_V2.tsv	True	False	False	
production_v2_run.py	open()	281	OUT_DIR/SIMULATED_PER_SUBTYPE_LR.tsv	OUT_DIR/SIMULATED_PER_SUBTYPE_LR.tsv	True	False	False	
production_v2_run.py	open()	311	OUT_DIR/SIMULATED_GATE9_INPUT.tsv	OUT_DIR/SIMULATED_GATE9_INPUT.tsv	True	False	False	
signatures.py	open()	164	path	path	True	False	False	
signatures.py	open()	227	WORK_DIR/SIMULATED_environment_check.json	WORK_DIR/SIMULATED_environment_check.json	True	False	False	
signatures.py	write_tsv()	290	WORK_DIR/SIMULATED_cosmic_reference_extract.tsv	WORK_DIR/SIMULATED_cosmic_reference_extract.tsv	True	False	False	
signatures.py	write_tsv()	344	WORK_DIR/SIMULATED_trinuc_exome_genome_factors.tsv	WORK_DIR/SIMULATED_trinuc_exome_genome_factors.tsv	True	False	False	
signatures.py	open()	363	WORK_DIR/SIMULATED_cosmic_reference_provenance.json	WORK_DIR/SIMULATED_cosmic_reference_provenance.json	True	False	False	
signatures.py	open()	456	WORK_DIR/SIMULATED_sbs3_validation_catalog_main.tsv	WORK_DIR/SIMULATED_sbs3_validation_catalog_main.tsv	True	False	False	
signatures.py	write_tsv()	461	WORK_DIR/SIMULATED_sbs3_validation_truth_main.tsv	WORK_DIR/SIMULATED_sbs3_validation_truth_main.tsv	True	False	False	
signatures.py	open()	465	WORK_DIR/SIMULATED_sbs3_bootstrap_seed_counts.tsv	WORK_DIR/SIMULATED_sbs3_bootstrap_seed_counts.tsv	True	False	False	
signatures.py	write_tsv()	571	WORK_DIR/SIMULATED_sbs3_exome_compare.tsv	WORK_DIR/SIMULATED_sbs3_exome_compare.tsv	True	False	False	
signatures.py	write_tsv()	662	WORK_DIR/SIMULATED_sbs3_by_cosmic_version_detail.tsv	WORK_DIR/SIMULATED_sbs3_by_cosmic_version_detail.tsv	True	False	False	
signatures.py	write_tsv()	666	WORK_DIR/SIMULATED_sbs3_misassignment_by_cosmic_version.tsv	WORK_DIR/SIMULATED_sbs3_misassignment_by_cosmic_version.tsv	True	False	False	
signatures.py	open()	704	WORK_DIR/SIMULATED_sbs3_bootstrap_replicates_matrix.tsv	WORK_DIR/SIMULATED_sbs3_bootstrap_replicates_matrix.tsv	True	False	False	
signatures.py	write_tsv()	753	WORK_DIR/SIMULATED_sbs3_bootstrap_recovery.tsv	WORK_DIR/SIMULATED_sbs3_bootstrap_recovery.tsv	True	False	False	
signatures.py	open()	783	WORK_DIR/SIMULATED_existing_catalog_transposed.tsv	WORK_DIR/SIMULATED_existing_catalog_transposed.tsv	True	False	False	
signatures.py	write_tsv()	807	WORK_DIR/SIMULATED_existing_catalog_recovered_sbs3.tsv	WORK_DIR/SIMULATED_existing_catalog_recovered_sbs3.tsv	True	False	False	
signatures.py	write_tsv()	851	WORK_DIR/SIMULATED_sbs3_lr_recovered.tsv	WORK_DIR/SIMULATED_sbs3_lr_recovered.tsv	True	False	False	
