arm	lambda_1se	lambda_min	bin	n	mean_predicted	observed_fraction
CORE_HR	30.0	1.0	[0.0,0.1)	969	0.050498337452372206	0.023735810113519093
CORE_HR	30.0	1.0	[0.1,0.2)	364	0.1449854748749918	0.11813186813186813
CORE_HR	30.0	1.0	[0.2,0.3)	209	0.24518992541251655	0.23444976076555024
CORE_HR	30.0	1.0	[0.3,0.4)	167	0.348396430199933	0.2874251497005988
CORE_HR	30.0	1.0	[0.4,0.5)	148	0.44410559284707174	0.4864864864864865
CORE_HR	30.0	1.0	[0.5,0.6)	152	0.5507810663092987	0.5526315789473685
CORE_HR	30.0	1.0	[0.6,0.7)	184	0.6493473391410004	0.6956521739130435
CORE_HR	30.0	1.0	[0.7,0.8)	214	0.7527453374258621	0.7990654205607477
CORE_HR	30.0	1.0	[0.8,0.9)	330	0.8556808750595116	0.9
CORE_HR	30.0	1.0	[0.9,1.0)	959	0.9641911615734648	0.97288842544317
DDR_SIGNALING	100.0	10.0	[0.0,0.1)	7	0.09418543631800802	0.0
DDR_SIGNALING	100.0	10.0	[0.1,0.2)	274	0.16669777092869933	0.11678832116788321
DDR_SIGNALING	100.0	10.0	[0.2,0.3)	513	0.25000474961061037	0.21052631578947367
DDR_SIGNALING	100.0	10.0	[0.3,0.4)	566	0.3475706880556036	0.32332155477031804
DDR_SIGNALING	100.0	10.0	[0.4,0.5)	540	0.449803115925604	0.4648148148148148
DDR_SIGNALING	100.0	10.0	[0.5,0.6)	524	0.5503854060268449	0.5706106870229007
DDR_SIGNALING	100.0	10.0	[0.6,0.7)	486	0.6496199117362534	0.6646090534979424
DDR_SIGNALING	100.0	10.0	[0.7,0.8)	403	0.7471441090850677	0.8064516129032258
DDR_SIGNALING	100.0	10.0	[0.8,0.9)	315	0.8413569327292545	0.834920634920635
DDR_SIGNALING	100.0	10.0	[0.9,1.0)	68	0.9261227279658231	0.9411764705882353
