arm	dimension	feature_subset	n_per_class	r_repeats	n_uninformative	n_zero_density_undefined	n_informative	not_usable_fraction	max_increase_in_sequence	noise_tolerance_2_of_r	combined_sequence_monotonic_up_to_noise
CORE_HR	1	SBS3_ONLY	12	15	9	5	1	0.9333	0.1333	0.1333	True
CORE_HR	1	SBS3_ONLY	15	15	12	2	1	0.9333	0.1333	0.1333	True
CORE_HR	1	SBS3_ONLY	20	15	13	2	0	1.0	0.1333	0.1333	True
CORE_HR	1	SBS3_ONLY	25	15	15	0	0	1.0	0.1333	0.1333	True
CORE_HR	1	SBS3_ONLY	30	15	15	0	0	1.0	0.1333	0.1333	True
CORE_HR	1	SBS3_ONLY	40	15	15	0	0	1.0	0.1333	0.1333	True
CORE_HR	1	SBS3_ONLY	50	15	15	0	0	1.0	0.1333	0.1333	True
CORE_HR	1	SBS3_ONLY	65	15	13	0	2	0.8667	0.1333	0.1333	True
CORE_HR	1	SBS3_ONLY	75	15	11	0	4	0.7333	0.1333	0.1333	True
CORE_HR	1	SBS3_ONLY	100	15	6	0	9	0.4	0.1333	0.1333	True
CORE_HR	1	SBS3_ONLY	130	15	3	0	12	0.2	0.1333	0.1333	True
CORE_HR	1	SBS3_ONLY	160	15	5	0	10	0.3333	0.1333	0.1333	True
CORE_HR	2	LOH_SBS3	12	15	10	5	0	1.0	0.0667	0.1333	True
CORE_HR	2	LOH_SBS3	15	15	12	3	0	1.0	0.0667	0.1333	True
CORE_HR	2	LOH_SBS3	20	15	14	0	1	0.9333	0.0667	0.1333	True
CORE_HR	2	LOH_SBS3	25	15	15	0	0	1.0	0.0667	0.1333	True
CORE_HR	2	LOH_SBS3	30	15	15	0	0	1.0	0.0667	0.1333	True
CORE_HR	2	LOH_SBS3	40	15	10	0	5	0.6667	0.0667	0.1333	True
CORE_HR	2	LOH_SBS3	50	15	8	0	7	0.5333	0.0667	0.1333	True
CORE_HR	2	LOH_SBS3	65	15	6	0	9	0.4	0.0667	0.1333	True
CORE_HR	2	LOH_SBS3	75	15	3	0	12	0.2	0.0667	0.1333	True
CORE_HR	2	LOH_SBS3	100	15	3	0	12	0.2	0.0667	0.1333	True
