row_id	point_estimate	ci_low	ci_high	tiers_spanned	upper_point_ratio	acmg_tier	gate8_status	reason
CORE_HR/LOH_GIS_SBS3/SYNTHETIC_FULL_N	101.240291	71.274566	158.671059	1	1.5673	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/LOH_GIS/SYNTHETIC_FULL_N	14.685146	11.812741	17.930487	1	1.221	PATHOGENIC_MODERATE	INFORMATIVE	
CORE_HR/LOH_SBS3/SYNTHETIC_FULL_N	30.103026	22.410231	42.562494	1	1.4139	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/GIS_SBS3/SYNTHETIC_FULL_N	23.1856	17.141387	33.509155	2	1.4453	PATHOGENIC_STRONG	INFORMATIVE	
DDR_SIGNALING/LOH_GIS_SBS3/SYNTHETIC_FULL_N	19.945829	14.100661	28.593374	2	1.4336	PATHOGENIC_STRONG	INFORMATIVE	
DDR_SIGNALING/LOH_GIS/SYNTHETIC_FULL_N	5.47155	4.534795	6.748257	1	1.2333	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/LOH_SBS3/SYNTHETIC_FULL_N	8.164778	6.463441	10.997389	1	1.3469	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/GIS_SBS3/SYNTHETIC_FULL_N	8.905318	6.907965	12.465758	1	1.3998	PATHOGENIC_MODERATE	INFORMATIVE	
CORE_HR/LOH_GIS_SBS3/REALISTIC_N_55	290.787223	56.194326	42041.155737	2	144.577		UNINFORMATIVE	CI upper bound is 144.58x the point estimate, exceeding MAX_UPPER_POINT_RATIO=18.7; CI upper bound 42041.2 exceeds ABSOLUTE_UPPER_CEILING=10000
CORE_HR/LOH_GIS/REALISTIC_N_55	12.445244	5.943185	42.179406	2	3.3892	PATHOGENIC_MODERATE	INFORMATIVE	
CORE_HR/LOH_SBS3/REALISTIC_N_55	103.475026	29.180998	10475.879201	2	101.2407		UNINFORMATIVE	CI upper bound is 101.24x the point estimate, exceeding MAX_UPPER_POINT_RATIO=18.7; CI upper bound 10475.9 exceeds ABSOLUTE_UPPER_CEILING=10000
CORE_HR/GIS_SBS3/REALISTIC_N_55	65.661631	14.57967	8954.003649	3	136.3658		UNINFORMATIVE	interval spans 3 ACMG tiers (from PATHOGENIC_MODERATE to PATHOGENIC_VERY_STRONG), exceeding MAX_TIERS_SPANNED=2; CI upper bound is 136.37x the point estimate, exceeding MAX_UPPER_POINT_RATIO=18.7
CORE_HR/LOH_GIS_SBS3/REALISTIC_N_75	73.143165	22.320486	553.301004	2	7.5646	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/LOH_GIS/REALISTIC_N_75	15.32062	7.241187	52.576111	2	3.4317	PATHOGENIC_MODERATE	INFORMATIVE	
CORE_HR/LOH_SBS3/REALISTIC_N_75	21.7951	9.419087	123.76974	2	5.6788	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/GIS_SBS3/REALISTIC_N_75	16.021836	5.963188	96.764526	2	6.0395	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/LOH_GIS_SBS3/REALISTIC_N_25	19.548323	3.9531	1706.16109	4	87.2792		UNINFORMATIVE	interval spans 4 ACMG tiers (from PATHOGENIC_SUPPORTING to PATHOGENIC_VERY_STRONG), exceeding MAX_TIERS_SPANNED=2; CI upper bound is 87.28x the point estimate, exceeding MAX_UPPER_POINT_RATIO=18.7
DDR_SIGNALING/LOH_GIS/REALISTIC_N_25	4.245019	1.540712	17.11454	3	4.0317		UNINFORMATIVE	interval spans 3 ACMG tiers (from NO_EVIDENCE to PATHOGENIC_MODERATE), exceeding MAX_TIERS_SPANNED=2
DDR_SIGNALING/LOH_SBS3/REALISTIC_N_25	10.131006	2.637601	1063.900692	4	105.0143		UNINFORMATIVE	interval spans 4 ACMG tiers (from PATHOGENIC_SUPPORTING to PATHOGENIC_VERY_STRONG), exceeding MAX_TIERS_SPANNED=2; CI upper bound is 105.01x the point estimate, exceeding MAX_UPPER_POINT_RATIO=18.7
DDR_SIGNALING/GIS_SBS3/REALISTIC_N_25	8.885601	2.436169	1299.268559	4	146.2218		UNINFORMATIVE	interval spans 4 ACMG tiers (from PATHOGENIC_SUPPORTING to PATHOGENIC_VERY_STRONG), exceeding MAX_TIERS_SPANNED=2; CI upper bound is 146.22x the point estimate, exceeding MAX_UPPER_POINT_RATIO=18.7
DDR_SIGNALING/LOH_GIS_SBS3/REALISTIC_N_35	11016.606573	759.621885	3645407853.257834	1	330901.1563		UNINFORMATIVE	CI upper bound is 330901.16x the point estimate, exceeding MAX_UPPER_POINT_RATIO=18.7; CI upper bound 3.64541e+09 exceeds ABSOLUTE_UPPER_CEILING=10000
DDR_SIGNALING/LOH_GIS/REALISTIC_N_35	15.346437	5.533884	193.758484	2	12.6256	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/LOH_SBS3/REALISTIC_N_35	2043.142403	140.725971	829708341.623159	2	406094.2303		UNINFORMATIVE	CI upper bound is 406094.23x the point estimate, exceeding MAX_UPPER_POINT_RATIO=18.7; CI upper bound 8.29708e+08 exceeds ABSOLUTE_UPPER_CEILING=10000
DDR_SIGNALING/GIS_SBS3/REALISTIC_N_35	3870.699607	315.443762	14110251043.700428	2	3645400.6966		UNINFORMATIVE	CI upper bound is 3645400.70x the point estimate, exceeding MAX_UPPER_POINT_RATIO=18.7; CI upper bound 1.41103e+10 exceeds ABSOLUTE_UPPER_CEILING=10000
CORE_HR/LOH_GIS_SBS3/SYNTHETIC_SUBTYPE_LumA	82.311297	53.282966	142.455444	1	1.7307	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/LOH_GIS/SYNTHETIC_SUBTYPE_LumA	14.358552	10.571467	19.698295	2	1.3719	PATHOGENIC_MODERATE	INFORMATIVE	
CORE_HR/LOH_SBS3/SYNTHETIC_SUBTYPE_LumA	23.735085	16.813961	37.600674	2	1.5842	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/GIS_SBS3/SYNTHETIC_SUBTYPE_LumA	19.880049	13.01879	31.822995	2	1.6008	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/LOH_GIS_SBS3/SYNTHETIC_SUBTYPE_LumB	94.421052	51.323855	184.860689	1	1.9578	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/LOH_GIS/SYNTHETIC_SUBTYPE_LumB	13.758626	9.701445	20.550029	2	1.4936	PATHOGENIC_MODERATE	INFORMATIVE	
CORE_HR/LOH_SBS3/SYNTHETIC_SUBTYPE_LumB	28.596482	18.432475	50.481568	2	1.7653	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/GIS_SBS3/SYNTHETIC_SUBTYPE_LumB	22.659483	13.359606	46.395594	2	2.0475	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/LOH_GIS_SBS3/SYNTHETIC_SUBTYPE_HER2E	134.218866	52.997937	587.494403	2	4.3771	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/LOH_GIS/SYNTHETIC_SUBTYPE_HER2E	11.044294	6.958635	18.065248	1	1.6357	PATHOGENIC_MODERATE	INFORMATIVE	
CORE_HR/LOH_SBS3/SYNTHETIC_SUBTYPE_HER2E	50.363377	23.182459	176.078077	1	3.4962	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/GIS_SBS3/SYNTHETIC_SUBTYPE_HER2E	32.387268	13.413785	149.969199	2	4.6305	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/LOH_GIS_SBS3/SYNTHETIC_SUBTYPE_Basal	100.041655	48.721568	236.855928	1	2.3676	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/LOH_GIS/SYNTHETIC_SUBTYPE_Basal	17.911117	11.293632	27.794058	2	1.5518	PATHOGENIC_MODERATE	INFORMATIVE	
CORE_HR/LOH_SBS3/SYNTHETIC_SUBTYPE_Basal	30.20607	18.662919	57.642779	2	1.9083	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/GIS_SBS3/SYNTHETIC_SUBTYPE_Basal	18.498854	10.679693	38.032546	2	2.0559	PATHOGENIC_MODERATE	INFORMATIVE	
CORE_HR/LOH_GIS_SBS3/SYNTHETIC_SUBTYPE_Normal-like							NOT_APPLICABLE	no computable interval on this row (e.g. INSUFFICIENT_N)
CORE_HR/LOH_GIS/SYNTHETIC_SUBTYPE_Normal-like							NOT_APPLICABLE	no computable interval on this row (e.g. INSUFFICIENT_N)
CORE_HR/LOH_SBS3/SYNTHETIC_SUBTYPE_Normal-like							NOT_APPLICABLE	no computable interval on this row (e.g. INSUFFICIENT_N)
CORE_HR/GIS_SBS3/SYNTHETIC_SUBTYPE_Normal-like							NOT_APPLICABLE	no computable interval on this row (e.g. INSUFFICIENT_N)
DDR_SIGNALING/LOH_GIS_SBS3/SYNTHETIC_SUBTYPE_LumA	21.677736	13.556067	37.841156	2	1.7456	PATHOGENIC_STRONG	INFORMATIVE	
DDR_SIGNALING/LOH_GIS/SYNTHETIC_SUBTYPE_LumA	5.346799	3.958845	7.214338	2	1.3493	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/LOH_SBS3/SYNTHETIC_SUBTYPE_LumA	8.602173	6.099557	12.926419	1	1.5027	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/GIS_SBS3/SYNTHETIC_SUBTYPE_LumA	10.217057	6.937446	15.085289	1	1.4765	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/LOH_GIS_SBS3/SYNTHETIC_SUBTYPE_LumB	15.039178	8.754902	26.521414	2	1.7635	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/LOH_GIS/SYNTHETIC_SUBTYPE_LumB	4.998255	3.471848	7.25025	2	1.4506	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/LOH_SBS3/SYNTHETIC_SUBTYPE_LumB	7.629466	5.137732	13.177277	1	1.7272	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/GIS_SBS3/SYNTHETIC_SUBTYPE_LumB	5.931106	3.633244	11.23	2	1.8934	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/LOH_GIS_SBS3/SYNTHETIC_SUBTYPE_HER2E	19.543279	9.800371	43.260121	2	2.2136	PATHOGENIC_STRONG	INFORMATIVE	
DDR_SIGNALING/LOH_GIS/SYNTHETIC_SUBTYPE_HER2E	6.727925	4.100394	11.263095	2	1.6741	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/LOH_SBS3/SYNTHETIC_SUBTYPE_HER2E	7.462707	4.503135	15.225817	1	2.0403	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/GIS_SBS3/SYNTHETIC_SUBTYPE_HER2E	7.607069	4.306511	16.616958	2	2.1844	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/LOH_GIS_SBS3/SYNTHETIC_SUBTYPE_Basal	20.344139	11.253732	40.010931	2	1.9667	PATHOGENIC_STRONG	INFORMATIVE	
DDR_SIGNALING/LOH_GIS/SYNTHETIC_SUBTYPE_Basal	5.523099	3.734796	8.515309	2	1.5418	PATHOGENIC_MODERATE	INFORMATIVE	
