arm	dimension	feature_subset	n_per_class	r_repeats	n_uninformative	n_estimator_error	n_informative	n_insufficient	not_usable_fraction
CORE_HR	1	SBS3_ONLY	12	8	7	0	1	0	0.875
CORE_HR	1	SBS3_ONLY	15	8	5	0	3	0	0.625
CORE_HR	1	SBS3_ONLY	20	8	7	0	1	0	0.875
CORE_HR	1	SBS3_ONLY	25	8	5	0	3	0	0.625
CORE_HR	1	SBS3_ONLY	30	8	7	0	1	0	0.875
CORE_HR	1	SBS3_ONLY	40	8	5	0	3	0	0.625
CORE_HR	1	SBS3_ONLY	50	8	4	0	4	0	0.5
CORE_HR	1	SBS3_ONLY	65	8	1	0	7	0	0.125
CORE_HR	1	SBS3_ONLY	75	8	2	0	6	0	0.25
CORE_HR	1	SBS3_ONLY	100	8	2	0	6	0	0.25
CORE_HR	1	SBS3_ONLY	130	8	3	0	5	0	0.375
CORE_HR	1	SBS3_ONLY	160	8	2	0	6	0	0.25
CORE_HR	2	LOH_SBS3	12	8	7	0	1	0	0.875
CORE_HR	2	LOH_SBS3	15	8	4	0	4	0	0.5
CORE_HR	2	LOH_SBS3	20	8	6	0	2	0	0.75
CORE_HR	2	LOH_SBS3	25	8	5	0	3	0	0.625
CORE_HR	2	LOH_SBS3	30	8	6	0	2	0	0.75
CORE_HR	2	LOH_SBS3	40	8	7	0	1	0	0.875
CORE_HR	2	LOH_SBS3	50	8	4	0	4	0	0.5
CORE_HR	2	LOH_SBS3	65	8	3	0	5	0	0.375
CORE_HR	2	LOH_SBS3	75	8	3	0	5	0	0.375
CORE_HR	2	LOH_SBS3	100	8	4	0	4	0	0.5
CORE_HR	2	LOH_SBS3	130	8	3	0	5	0	0.375
CORE_HR	2	LOH_SBS3	160	8	3	0	5	0	0.375
CORE_HR	3	LOH_GIS_SBS3	12	8	6	0	2	0	0.75
CORE_HR	3	LOH_GIS_SBS3	15	8	5	0	3	0	0.625
CORE_HR	3	LOH_GIS_SBS3	20	8	6	0	2	0	0.75
CORE_HR	3	LOH_GIS_SBS3	25	8	5	0	3	0	0.625
CORE_HR	3	LOH_GIS_SBS3	30	8	6	0	2	0	0.75
CORE_HR	3	LOH_GIS_SBS3	40	8	6	0	2	0	0.75
CORE_HR	3	LOH_GIS_SBS3	50	8	3	0	5	0	0.375
CORE_HR	3	LOH_GIS_SBS3	65	8	3	0	5	0	0.375
CORE_HR	3	LOH_GIS_SBS3	75	8	6	0	2	0	0.75
CORE_HR	3	LOH_GIS_SBS3	100	8	6	0	2	0	0.75
CORE_HR	3	LOH_GIS_SBS3	130	8	1	0	7	0	0.125
CORE_HR	3	LOH_GIS_SBS3	160	8	2	0	6	0	0.25
DDR_SIGNALING	1	SBS3_ONLY	12	8	8	0	0	0	1.0
DDR_SIGNALING	1	SBS3_ONLY	15	8	8	0	0	0	1.0
DDR_SIGNALING	1	SBS3_ONLY	20	8	8	0	0	0	1.0
DDR_SIGNALING	1	SBS3_ONLY	25	8	6	0	2	0	0.75
DDR_SIGNALING	1	SBS3_ONLY	30	8	7	0	1	0	0.875
DDR_SIGNALING	1	SBS3_ONLY	40	8	6	0	2	0	0.75
DDR_SIGNALING	1	SBS3_ONLY	50	8	6	0	2	0	0.75
DDR_SIGNALING	1	SBS3_ONLY	65	8	5	0	3	0	0.625
DDR_SIGNALING	1	SBS3_ONLY	75	8	5	0	3	0	0.625
DDR_SIGNALING	1	SBS3_ONLY	100	8	5	0	3	0	0.625
DDR_SIGNALING	1	SBS3_ONLY	130	8	4	0	4	0	0.5
DDR_SIGNALING	1	SBS3_ONLY	160	8	6	0	2	0	0.75
DDR_SIGNALING	2	LOH_SBS3	12	8	7	0	1	0	0.875
DDR_SIGNALING	2	LOH_SBS3	15	8	5	0	3	0	0.625
DDR_SIGNALING	2	LOH_SBS3	20	8	7	0	1	0	0.875
DDR_SIGNALING	2	LOH_SBS3	25	8	5	0	3	0	0.625
DDR_SIGNALING	2	LOH_SBS3	30	8	7	0	1	0	0.875
DDR_SIGNALING	2	LOH_SBS3	40	8	7	0	1	0	0.875
DDR_SIGNALING	2	LOH_SBS3	50	8	8	0	0	0	1.0
DDR_SIGNALING	2	LOH_SBS3	65	8	2	0	6	0	0.25
DDR_SIGNALING	2	LOH_SBS3	75	8	3	0	5	0	0.375
DDR_SIGNALING	2	LOH_SBS3	100	8	5	0	3	0	0.625
DDR_SIGNALING	2	LOH_SBS3	130	8	1	0	7	0	0.125
DDR_SIGNALING	2	LOH_SBS3	160	8	2	0	6	0	0.25
DDR_SIGNALING	3	LOH_GIS_SBS3	12	8	8	0	0	0	1.0
DDR_SIGNALING	3	LOH_GIS_SBS3	15	8	7	0	1	0	0.875
DDR_SIGNALING	3	LOH_GIS_SBS3	20	8	6	0	2	0	0.75
DDR_SIGNALING	3	LOH_GIS_SBS3	25	8	8	0	0	0	1.0
DDR_SIGNALING	3	LOH_GIS_SBS3	30	8	6	0	2	0	0.75
DDR_SIGNALING	3	LOH_GIS_SBS3	40	8	6	0	2	0	0.75
DDR_SIGNALING	3	LOH_GIS_SBS3	50	8	6	0	2	0	0.75
DDR_SIGNALING	3	LOH_GIS_SBS3	65	8	5	0	3	0	0.625
DDR_SIGNALING	3	LOH_GIS_SBS3	75	8	2	0	6	0	0.25
DDR_SIGNALING	3	LOH_GIS_SBS3	100	8	3	0	5	0	0.375
DDR_SIGNALING	3	LOH_GIS_SBS3	130	8	4	0	4	0	0.5
DDR_SIGNALING	3	LOH_GIS_SBS3	160	8	2	0	6	0	0.25
