arm	n_per_class	eval_point_sbs3	benign_marginal_mean	zero_density_fraction_of_trials	mean_top1_kernel_contribution_share_original_sample	n_outer_trials	b_bootstrap_per_trial
CORE_HR	12	0.3	0.03	0.2833	0.6886	60	300
CORE_HR	15	0.3	0.03	0.1333	0.6745	60	300
CORE_HR	20	0.3	0.03	0.0167	0.5142	60	300
CORE_HR	25	0.3	0.03	0.0167	0.4755	60	300
CORE_HR	30	0.3	0.03	0.0	0.4647	60	300
CORE_HR	40	0.3	0.03	0.0	0.4241	60	300
CORE_HR	50	0.3	0.03	0.0	0.3534	60	300
CORE_HR	65	0.3	0.03	0.0	0.2935	60	300
CORE_HR	75	0.3	0.03	0.0	0.2499	60	300
CORE_HR	100	0.3	0.03	0.0	0.2056	60	300
CORE_HR	130	0.3	0.03	0.0	0.1828	60	300
CORE_HR	160	0.3	0.03	0.0	0.1412	60	300
DDR_SIGNALING	12	0.3	0.08	0.0	0.6263	60	300
DDR_SIGNALING	15	0.3	0.08	0.0	0.5697	60	300
DDR_SIGNALING	20	0.3	0.08	0.0	0.5293	60	300
DDR_SIGNALING	25	0.3	0.08	0.0	0.4041	60	300
DDR_SIGNALING	30	0.3	0.08	0.0	0.3711	60	300
DDR_SIGNALING	40	0.3	0.08	0.0	0.3173	60	300
DDR_SIGNALING	50	0.3	0.08	0.0	0.3278	60	300
DDR_SIGNALING	65	0.3	0.08	0.0	0.2561	60	300
DDR_SIGNALING	75	0.3	0.08	0.0	0.2359	60	300
DDR_SIGNALING	100	0.3	0.08	0.0	0.1844	60	300
DDR_SIGNALING	130	0.3	0.08	0.0	0.1484	60	300
DDR_SIGNALING	160	0.3	0.08	0.0	0.1296	60	300
