row_id	arm	subtype	n_pathogenic	n_benign	n_total	point_estimate	ci_low	ci_high	true_reference_joint_LR
CORE_HR/LumA	CORE_HR	LumA	831	802	1633	81.718781	49.704314	141.69905	7.243192
CORE_HR/LumB	CORE_HR	LumB	462	422	884	90.204949	48.103017	186.517456	7.243192
CORE_HR/HER2E	CORE_HR	HER2E	205	228	433	158.335476	60.325396	964.357515	7.243192
CORE_HR/Basal	CORE_HR	Basal	314	369	683	3.201332	1.997811	5.357761	1.437375
CORE_HR/Normal-like	CORE_HR	Normal-like	36	27	63	196.82788	36.505528	3567405.795597	7.243192
DDR_SIGNALING/LumA	DDR_SIGNALING	LumA	775	834	1609	21.496397	13.548851	35.301554	6.204176
DDR_SIGNALING/LumB	DDR_SIGNALING	LumB	460	436	896	16.271367	9.418152	30.912838	6.204176
DDR_SIGNALING/HER2E	DDR_SIGNALING	HER2E	219	206	425	17.096036	8.585946	37.957386	6.204176
DDR_SIGNALING/Basal	DDR_SIGNALING	Basal	362	349	711	6.188223	3.948347	10.694621	3.079732
DDR_SIGNALING/Normal-like	DDR_SIGNALING	Normal-like	32	23	55	10.421422	2.155591	249.270794	6.204176
