quantity	injected_value	estimand	is_null	feature_type	derivation
core_hr_wt_lost_direction_LR	4.480411981797967	LR	FALSE	categorical	marginal P(WT_LOST_DIRECTION|Pathogenic)=0.801928 / P(...|Benign)=0.178985, each via the Gaussian-probit convolution identity Phi((a+b*muZ)/sqrt(1+b^2))
core_hr_gis_score_LR	3.6622471084686548	LR	FALSE	continuous_gaussian_marginal	f(GIS=42.0|Pathogenic~N(48.0000,14.4222)) / f(GIS=42.0|Benign~N(18.0000,14.4222)), marginal over Z
core_hr_sbs3_exposure_LR	5.644994542233774	LR	FALSE	continuous_gaussian_marginal	P06R3: f_clipped(SBS3=0.3|Pathogenic~N(0.3300,0.1442)|clip[0.0,0.95])=2.706965 (density) / f_clipped(SBS3=0.3|Benign~N(0.0300,0.1442)|clip[0.0,0.95])=0.479534 (density), marginal over Z. x_sbs3 is interior to the clip range for both classes (kind='density' both sides), so this equals the pre-P06R3 unclipped-Gaussian formula exactly -- clipping is a measure-preserving identity map on the open interval, it cannot change the density there; see FIDELITY_AUDIT.md.
core_hr_joint_LR	7.243192150573085	LR	FALSE	joint_latent_model	joint_density(x*|Pathogenic)/joint_density(x*|Benign) at x*={'wt_lost': 1, 'gis': 42.0, 'sbs3': 0.3}, each joint_density computed by 1D Simpson's-rule integration over the shared latent Z (see joint_density()); NOT a product of marginals
core_hr_product_of_marginals_LR	92.6251919795419	LR	FALSE	product_of_marginals	naive product of the 3 marginal per-feature LRs above, evaluated at the SAME x*={'wt_lost': 1, 'gis': 42.0, 'sbs3': 0.3} -- the quantity a conditional-independence-assuming estimator would recover if it ignored the shared-Z correlation
core_hr_joint_vs_marginal_inflation_ratio	0.07819894345992705	LR_RATIO	FALSE	diagnostic_ratio	core_hr_joint_LR / core_hr_product_of_marginals_LR -- P09's known inflation target; != 1.0 because the 3 features share latent Z and are therefore correlated given class, so the conditional-independence assumption behind a naive product-of-marginals estimator is violated by construction
ddr_signaling_wt_lost_direction_LR	2.137348544853484	LR	FALSE	categorical	marginal P(WT_LOST_DIRECTION|Pathogenic)=0.519602 / P(...|Benign)=0.243106, each via the Gaussian-probit convolution identity Phi((a+b*muZ)/sqrt(1+b^2))
ddr_signaling_gis_score_LR	2.7235909709691692	LR	FALSE	continuous_gaussian_marginal	f(GIS=42.0|Pathogenic~N(31.4000,12.8062)) / f(GIS=42.0|Benign~N(21.0000,12.8062)), marginal over Z
ddr_signaling_sbs3_exposure_LR	3.9157230519927206	LR	FALSE	continuous_gaussian_marginal	P06R3: f_clipped(SBS3=0.3|Pathogenic~N(0.1840,0.1131)|clip[0.0,0.95])=2.084630 (density) / f_clipped(SBS3=0.3|Benign~N(0.0800,0.1131)|clip[0.0,0.95])=0.532374 (density), marginal over Z. x_sbs3 is interior to the clip range for both classes (kind='density' both sides), so this equals the pre-P06R3 unclipped-Gaussian formula exactly -- clipping is a measure-preserving identity map on the open interval, it cannot change the density there; see FIDELITY_AUDIT.md.
ddr_signaling_joint_LR	6.204176316151221	LR	FALSE	joint_latent_model	joint_density(x*|Pathogenic)/joint_density(x*|Benign) at x*={'wt_lost': 1, 'gis': 42.0, 'sbs3': 0.3}, each joint_density computed by 1D Simpson's-rule integration over the shared latent Z (see joint_density()); NOT a product of marginals
ddr_signaling_product_of_marginals_LR	22.794454498384997	LR	FALSE	product_of_marginals	naive product of the 3 marginal per-feature LRs above, evaluated at the SAME x*={'wt_lost': 1, 'gis': 42.0, 'sbs3': 0.3} -- the quantity a conditional-independence-assuming estimator would recover if it ignored the shared-Z correlation
ddr_signaling_joint_vs_marginal_inflation_ratio	0.2721791967687049	LR_RATIO	FALSE	diagnostic_ratio	ddr_signaling_joint_LR / ddr_signaling_product_of_marginals_LR -- P09's known inflation target; != 1.0 because the 3 features share latent Z and are therefore correlated given class, so the conditional-independence assumption behind a naive product-of-marginals estimator is violated by construction
null_arm_full_vector_joint_LR	1.0	LR	TRUE	joint_latent_model	NULL_ARM's Z_MEAN is identical (0.0) for Pathogenic and Benign, and every other link parameter is shared -- f(x|Pathogenic)===f(x|Benign) as distributions, so joint_LR(x)===1.0 for EVERY evidence vector x, not merely at one evaluation point (proof: LR(x)=f(x|Path)/f(x|Benign)=f(x)/f(x)=1 identically when the two class-conditional densities are the same function). Verified numerically at EVAL_POINT.
null_arm_full_vector_product_of_marginals_LR	1.0	LR	TRUE	product_of_marginals	Each marginal of two identical distributions is itself identical, so the naive product-of-marginals LR is also exactly 1.0 here -- this null arm is a genuine test of the FULL feature vector (the case the task's v2 regression got wrong, returning 0.36 [0.30-0.43] instead of ~1), not merely the single-feature depth-bucket null below.
null_arm_full_vector_inflation_ratio	1.0	LR_RATIO	TRUE	diagnostic_ratio	joint/product ratio for the null arm; == 1.0 exactly since both the numerator and denominator quantities above are each exactly 1.0 by construction (no shared-Z correlation exists between classes here, because there is no class difference at all).
null_sequencing_depth_bucket_LR	1.0	LR	TRUE	categorical	P(HIGH_DEPTH|Pathogenic)=0.5 / P(HIGH_DEPTH|Benign)=0.5 (engineered identical by construction -- HIGH_DEPTH is a coin flip independent of class in both branches of the generator). Kept as a SECONDARY null per this revision's task -- the PRIMARY null test is now null_arm_full_vector_joint_LR above, a full-feature-vector null, which is the case a prior version's regression got wrong.
