sample_id	true_class	gene_group	gene
SIM-0001	Pathogenic	CORE_HR	RAD51C
SIM-0002	Pathogenic	CORE_HR	RAD51B
SIM-0003	Pathogenic	CORE_HR	PALB2
SIM-0004	Pathogenic	CORE_HR	BRIP1
SIM-0005	Pathogenic	CORE_HR	BRCA1
SIM-0006	Pathogenic	CORE_HR	RAD54L
SIM-0007	Pathogenic	CORE_HR	RAD51C
SIM-0008	Pathogenic	CORE_HR	BARD1
SIM-0009	Pathogenic	CORE_HR	BRCA2
SIM-0010	Pathogenic	CORE_HR	BRCA1
SIM-0011	Pathogenic	CORE_HR	BRCA1
SIM-0012	Pathogenic	CORE_HR	PALB2
SIM-0013	Pathogenic	CORE_HR	BARD1
SIM-0014	Pathogenic	CORE_HR	BRCA1
SIM-0015	Pathogenic	CORE_HR	BARD1
SIM-0016	Benign	CORE_HR	RAD54L
SIM-0017	Benign	CORE_HR	RAD51D
SIM-0018	Benign	CORE_HR	RAD51B
SIM-0019	Benign	CORE_HR	RAD54L
SIM-0020	Benign	CORE_HR	RAD54L
SIM-0021	Benign	CORE_HR	RAD51B
SIM-0022	Benign	CORE_HR	BARD1
SIM-0023	Benign	CORE_HR	BARD1
SIM-0024	Benign	CORE_HR	RAD51C
SIM-0025	Benign	CORE_HR	RAD54L
SIM-0026	Benign	CORE_HR	RAD54L
SIM-0027	Benign	CORE_HR	BRIP1
SIM-0028	Benign	CORE_HR	RAD54L
SIM-0029	Benign	CORE_HR	BRCA2
SIM-0030	Benign	CORE_HR	RAD51B
SIM-0031	Pathogenic	DDR_SIGNALING	ATM
SIM-0032	Pathogenic	DDR_SIGNALING	MRE11
SIM-0033	Pathogenic	DDR_SIGNALING	ATM
SIM-0034	Pathogenic	DDR_SIGNALING	RAD50
SIM-0035	Pathogenic	DDR_SIGNALING	MRE11
SIM-0036	Pathogenic	DDR_SIGNALING	RAD50
SIM-0037	Pathogenic	DDR_SIGNALING	MRE11
SIM-0038	Pathogenic	DDR_SIGNALING	ATM
SIM-0039	Pathogenic	DDR_SIGNALING	ATM
SIM-0040	Pathogenic	DDR_SIGNALING	ATR
SIM-0041	Pathogenic	DDR_SIGNALING	CHEK1
SIM-0042	Pathogenic	DDR_SIGNALING	ATR
SIM-0043	Pathogenic	DDR_SIGNALING	ATM
SIM-0044	Pathogenic	DDR_SIGNALING	NBN
SIM-0045	Pathogenic	DDR_SIGNALING	ATM
SIM-0046	Benign	DDR_SIGNALING	FANCM
SIM-0047	Benign	DDR_SIGNALING	RAD50
SIM-0048	Benign	DDR_SIGNALING	CHEK2
SIM-0049	Benign	DDR_SIGNALING	CHEK2
SIM-0050	Benign	DDR_SIGNALING	ATR
SIM-0051	Benign	DDR_SIGNALING	ATR
SIM-0052	Benign	DDR_SIGNALING	NBN
SIM-0053	Benign	DDR_SIGNALING	MRE11
SIM-0054	Benign	DDR_SIGNALING	MRE11
SIM-0055	Benign	DDR_SIGNALING	NBN
SIM-0056	Benign	DDR_SIGNALING	FANCM
SIM-0057	Benign	DDR_SIGNALING	FANCM
SIM-0058	Benign	DDR_SIGNALING	RAD50
SIM-0059	Benign	DDR_SIGNALING	ATR
SIM-0060	Benign	DDR_SIGNALING	ATR
