sample_id	gene	gene_group	pam50_subtype	purity	ploidy	wgd	normal_depth	purity_bin	depth_regime	gis_score
SIM-00001	RAD51D	CORE_HR	HER2E	0.2804	4.6281	False	44	LOW	LOW	55.5691
SIM-00002	PALB2	CORE_HR	LumA	0.1865	4.4373	False	47	LOW	LOW	60.4854
SIM-00003	RAD54L	CORE_HR	LumB	0.1334	3.3002	True	36	LOW	LOW	46.5351
SIM-00004	RAD51D	CORE_HR	HER2E	0.1954	2.1843	True	47	LOW	LOW	38.9232
SIM-00005	RAD54L	CORE_HR	LumA	0.3183	3.2128	False	37	LOW	LOW	35.4693
SIM-00006	RAD54L	CORE_HR	HER2E	0.2602	3.0401	False	32	LOW	LOW	32.4504
SIM-00007	BRIP1	CORE_HR	LumA	0.2954	3.1196	False	35	LOW	LOW	41.9749
SIM-00008	BRCA1	CORE_HR	LumA	0.3399	1.6847	False	44	LOW	LOW	34.1706
SIM-00009	BARD1	CORE_HR	LumB	0.129	1.6251	False	43	LOW	LOW	22.6146
SIM-00010	PALB2	CORE_HR	LumB	0.1005	3.3615	False	36	LOW	LOW	40.2556
SIM-00011	BARD1	CORE_HR	LumA	0.2529	4.8853	False	44	LOW	LOW	40.7785
SIM-00012	BRCA1	CORE_HR	LumB	0.1371	2.0761	False	43	LOW	LOW	46.1281
SIM-00013	PALB2	CORE_HR	HER2E	0.2237	3.8019	False	40	LOW	LOW	89.8618
SIM-00014	BRCA2	CORE_HR	LumA	0.1026	3.0338	False	43	LOW	LOW	47.573
SIM-00015	RAD51B	CORE_HR	Basal	0.2611	2.2709	True	41	LOW	LOW	54.6511
SIM-00016	BRCA2	CORE_HR	LumA	0.2378	2.0562	False	43	LOW	LOW	38.3044
SIM-00017	RAD51B	CORE_HR	LumB	0.2531	2.0037	True	35	LOW	LOW	50.8709
SIM-00018	RAD54L	CORE_HR	HER2E	0.3062	5.1491	False	46	LOW	LOW	52.8323
SIM-00019	BRCA1	CORE_HR	Basal	0.2335	2.2335	False	44	LOW	LOW	68.7943
SIM-00020	RAD51C	CORE_HR	LumA	0.3421	4.2021	False	46	LOW	LOW	65.5275
SIM-00021	RAD51D	CORE_HR	LumA	0.1792	1.6477	True	46	LOW	LOW	34.8544
SIM-00022	RAD51C	CORE_HR	Basal	0.2205	5.1762	False	48	LOW	LOW	52.1926
SIM-00023	BARD1	CORE_HR	Basal	0.225	2.6671	False	44	LOW	LOW	51.5376
SIM-00024	BRCA1	CORE_HR	LumB	0.1615	2.1683	False	50	LOW	LOW	44.3497
SIM-00025	BARD1	CORE_HR	LumA	0.2307	4.6768	False	41	LOW	LOW	41.2985
SIM-00026	BRCA2	CORE_HR	Basal	0.3483	3.7	False	44	LOW	LOW	65.8946
SIM-00027	RAD54L	CORE_HR	LumA	0.2958	3.5988	True	34	LOW	LOW	58.8674
SIM-00028	PALB2	CORE_HR	LumB	0.3308	4.9679	False	41	LOW	LOW	37.4023
SIM-00029	BRCA2	CORE_HR	HER2E	0.3028	1.9142	False	23	LOW	LOW	67.4417
SIM-00030	BRCA1	CORE_HR	LumA	0.1865	3.8418	True	47	LOW	LOW	41.1824
SIM-00031	BRIP1	CORE_HR	Basal	0.1016	2.7476	False	37	LOW	LOW	63.3768
