sample_id	sbs3_relative_exposure_true	total_mutations	n_hrd_process_mutations	n_background_mutations
SIM-0001	0.2914	65	19	46
SIM-0002	0.3741	72	27	45
SIM-0003	0.2765	57	16	41
SIM-0004	0.3847	53	20	33
SIM-0005	0.3055	85	26	59
SIM-0006	0.4038	55	22	33
SIM-0007	0.3438	70	24	46
SIM-0008	0.2959	61	18	43
SIM-0009	0.4319	52	22	30
SIM-0010	0.5512	62	34	28
SIM-0011	0.3177	75	24	51
SIM-0012	0.2612	53	14	39
SIM-0013	0.4115	15	6	9
SIM-0014	0.4084	61	25	36
SIM-0015	0.3262	51	17	34
SIM-0016	0.0834	72	6	66
SIM-0017	0.1656	44	7	37
SIM-0018	0.0579	60	3	57
SIM-0019	0.213	68	14	54
SIM-0020	0.0998	44	4	40
SIM-0021	0.0784	51	4	47
SIM-0022	0.0264	43	1	42
SIM-0023	0.1308	48	6	42
SIM-0024	0.0	52	0	52
SIM-0025	0.1262	45	6	39
SIM-0026	0.1965	78	15	63
SIM-0027	0.1542	71	11	60
SIM-0028	0.1029	49	5	44
SIM-0029	0.1014	57	6	51
SIM-0030	0.1457	58	8	50
SIM-0031	0.3554	79	28	51
SIM-0032	0.232	62	14	48
SIM-0033	0.3237	49	16	33
SIM-0034	0.4488	74	33	41
SIM-0035	0.347	56	19	37
SIM-0036	0.4216	49	21	28
SIM-0037	0.5712	59	34	25
SIM-0038	0.2818	47	13	34
SIM-0039	0.5002	61	31	30
SIM-0040	0.3303	88	29	59
SIM-0041	0.4448	91	40	51
SIM-0042	0.4514	58	26	32
SIM-0043	0.2646	45	12	33
SIM-0044	0.2254	42	9	33
SIM-0045	0.2906	45	13	32
SIM-0046	0.0	73	0	73
SIM-0047	0.1238	73	9	64
SIM-0048	0.0	52	0	52
SIM-0049	0.0612	68	4	64
SIM-0050	0.1134	69	8	61
SIM-0051	0.1482	60	9	51
SIM-0052	0.1804	70	13	57
SIM-0053	0.0696	49	3	46
SIM-0054	0.0409	75	3	72
SIM-0055	0.0	63	0	63
SIM-0056	0.1032	50	5	45
SIM-0057	0.0	86	0	86
SIM-0058	0.1947	34	7	27
SIM-0059	0.0921	50	5	45
SIM-0060	0.0	96	0	96
