sample_id	gene_group	true_class	recovered_sbs3_exposure
SIM-00001	CORE_HR	Pathogenic	0.0
SIM-00002	CORE_HR	Pathogenic	0.0
SIM-00003	CORE_HR	Pathogenic	0.0
SIM-00004	CORE_HR	Pathogenic	0.649351
SIM-00005	CORE_HR	Pathogenic	0.0
SIM-00006	CORE_HR	Pathogenic	0.0
SIM-00007	CORE_HR	Pathogenic	0.0
SIM-00008	CORE_HR	Pathogenic	0.820896
SIM-00009	CORE_HR	Pathogenic	0.0
SIM-00010	CORE_HR	Pathogenic	0.0
SIM-00011	CORE_HR	Pathogenic	0.0
SIM-00012	CORE_HR	Pathogenic	0.0
SIM-00013	CORE_HR	Pathogenic	0.0
SIM-00014	CORE_HR	Pathogenic	0.0
SIM-00015	CORE_HR	Pathogenic	0.0
SIM-00016	CORE_HR	Pathogenic	0.0
SIM-00017	CORE_HR	Pathogenic	0.0
SIM-00018	CORE_HR	Pathogenic	0.0
SIM-00019	CORE_HR	Pathogenic	0.0
SIM-00020	CORE_HR	Pathogenic	0.0
SIM-00021	CORE_HR	Pathogenic	0.0
SIM-00022	CORE_HR	Pathogenic	0.0
SIM-00023	CORE_HR	Pathogenic	0.0
SIM-00024	CORE_HR	Pathogenic	0.0
SIM-00025	CORE_HR	Pathogenic	0.0
SIM-00026	CORE_HR	Pathogenic	0.0
SIM-00027	CORE_HR	Pathogenic	0.0
SIM-00028	CORE_HR	Pathogenic	0.0
SIM-00029	CORE_HR	Pathogenic	0.0
SIM-00030	CORE_HR	Pathogenic	0.0
SIM-00031	CORE_HR	Pathogenic	0.0
SIM-00032	CORE_HR	Pathogenic	0.0
SIM-00033	CORE_HR	Pathogenic	0.0
SIM-00034	CORE_HR	Pathogenic	0.0
SIM-00035	CORE_HR	Pathogenic	0.0
SIM-00036	CORE_HR	Pathogenic	0.0
SIM-00037	CORE_HR	Pathogenic	0.0
SIM-00038	CORE_HR	Pathogenic	0.0
SIM-00039	CORE_HR	Pathogenic	0.0
SIM-00040	CORE_HR	Pathogenic	0.0
SIM-00041	CORE_HR	Pathogenic	0.0
SIM-00042	CORE_HR	Pathogenic	0.0
SIM-00043	CORE_HR	Pathogenic	0.0
SIM-00044	CORE_HR	Pathogenic	0.0
SIM-00045	CORE_HR	Pathogenic	0.0
SIM-00046	CORE_HR	Pathogenic	0.0
SIM-00047	CORE_HR	Pathogenic	0.0
SIM-00048	CORE_HR	Pathogenic	0.0
SIM-00049	CORE_HR	Pathogenic	0.0
SIM-00050	CORE_HR	Pathogenic	0.0
SIM-00051	CORE_HR	Pathogenic	0.0
SIM-00052	CORE_HR	Pathogenic	0.0
SIM-00053	CORE_HR	Pathogenic	0.0
SIM-00054	CORE_HR	Pathogenic	0.0
SIM-00055	CORE_HR	Pathogenic	0.0
SIM-00056	CORE_HR	Pathogenic	0.0
SIM-00057	CORE_HR	Pathogenic	0.0
SIM-00058	CORE_HR	Pathogenic	0.0
SIM-00059	CORE_HR	Pathogenic	0.0
SIM-00060	CORE_HR	Pathogenic	0.0
SIM-00061	CORE_HR	Pathogenic	0.0
SIM-00062	CORE_HR	Pathogenic	0.0
SIM-00063	CORE_HR	Pathogenic	0.0
SIM-00064	CORE_HR	Pathogenic	0.0
SIM-00065	CORE_HR	Pathogenic	0.0
SIM-00066	CORE_HR	Pathogenic	0.0
SIM-00067	CORE_HR	Pathogenic	0.0
SIM-00068	CORE_HR	Pathogenic	0.0
SIM-00069	CORE_HR	Pathogenic	0.0
SIM-00070	CORE_HR	Pathogenic	0.0
SIM-00071	CORE_HR	Pathogenic	0.0
SIM-00072	CORE_HR	Pathogenic	0.0
SIM-00073	CORE_HR	Pathogenic	0.0
SIM-00074	CORE_HR	Pathogenic	0.0
SIM-00075	CORE_HR	Pathogenic	0.0
SIM-00076	CORE_HR	Pathogenic	0.0
SIM-00077	CORE_HR	Pathogenic	0.0
SIM-00078	CORE_HR	Pathogenic	0.0
SIM-00079	CORE_HR	Pathogenic	0.0
SIM-00080	CORE_HR	Pathogenic	0.0
SIM-00081	CORE_HR	Pathogenic	0.0
SIM-00082	CORE_HR	Pathogenic	0.0
SIM-00083	CORE_HR	Pathogenic	0.0
SIM-00084	CORE_HR	Pathogenic	0.0
SIM-00085	CORE_HR	Pathogenic	0.0
SIM-00086	CORE_HR	Pathogenic	0.0
SIM-00087	CORE_HR	Pathogenic	0.0
SIM-00088	CORE_HR	Pathogenic	0.0
SIM-00089	CORE_HR	Pathogenic	0.0
SIM-00090	CORE_HR	Pathogenic	0.0
SIM-00091	CORE_HR	Pathogenic	0.0
SIM-00092	CORE_HR	Pathogenic	0.0
SIM-00093	CORE_HR	Pathogenic	0.743243
SIM-00094	CORE_HR	Pathogenic	0.0
SIM-00095	CORE_HR	Pathogenic	0.0
SIM-00096	CORE_HR	Pathogenic	0.0
SIM-00097	CORE_HR	Pathogenic	0.0
SIM-00098	CORE_HR	Pathogenic	0.0
SIM-00099	CORE_HR	Pathogenic	0.0
SIM-00100	CORE_HR	Pathogenic	0.0
SIM-00101	CORE_HR	Pathogenic	0.0
SIM-00102	CORE_HR	Pathogenic	0.0
SIM-00103	CORE_HR	Pathogenic	0.0
SIM-00104	CORE_HR	Pathogenic	0.0
SIM-00105	CORE_HR	Pathogenic	0.0
SIM-00106	CORE_HR	Pathogenic	0.0
SIM-00107	CORE_HR	Pathogenic	0.0
SIM-00108	CORE_HR	Pathogenic	0.0
SIM-00109	CORE_HR	Pathogenic	0.0
SIM-00110	CORE_HR	Pathogenic	0.0
SIM-00111	CORE_HR	Pathogenic	0.0
SIM-00112	CORE_HR	Pathogenic	0.0
SIM-00113	CORE_HR	Pathogenic	0.0
SIM-00114	CORE_HR	Pathogenic	0.0
SIM-00115	CORE_HR	Pathogenic	0.0
SIM-00116	CORE_HR	Pathogenic	0.0
SIM-00117	CORE_HR	Pathogenic	0.0
SIM-00118	CORE_HR	Pathogenic	0.0
SIM-00119	CORE_HR	Pathogenic	0.0
SIM-00120	CORE_HR	Pathogenic	0.0
SIM-00121	CORE_HR	Pathogenic	0.0
SIM-00122	CORE_HR	Pathogenic	0.0
SIM-00123	CORE_HR	Pathogenic	0.0
SIM-00124	CORE_HR	Pathogenic	0.0
SIM-00125	CORE_HR	Pathogenic	0.0
SIM-00126	CORE_HR	Pathogenic	0.0
SIM-00127	CORE_HR	Pathogenic	0.0
SIM-00128	CORE_HR	Pathogenic	0.0
SIM-00129	CORE_HR	Pathogenic	0.0
SIM-00130	CORE_HR	Pathogenic	0.0
SIM-00131	CORE_HR	Pathogenic	0.0
SIM-00132	CORE_HR	Pathogenic	0.0
SIM-00133	CORE_HR	Pathogenic	0.0
SIM-00134	CORE_HR	Pathogenic	0.0
SIM-00135	CORE_HR	Pathogenic	0.0
SIM-00136	CORE_HR	Pathogenic	0.0
SIM-00137	CORE_HR	Pathogenic	0.0
SIM-00138	CORE_HR	Pathogenic	0.0
SIM-00139	CORE_HR	Pathogenic	0.0
SIM-00140	CORE_HR	Pathogenic	0.0
SIM-00141	CORE_HR	Pathogenic	0.0
SIM-00142	CORE_HR	Pathogenic	0.0
SIM-00143	CORE_HR	Pathogenic	0.0
SIM-00144	CORE_HR	Pathogenic	0.0
SIM-00145	CORE_HR	Pathogenic	0.0
SIM-00146	CORE_HR	Pathogenic	0.0
SIM-00147	CORE_HR	Pathogenic	0.0
SIM-00148	CORE_HR	Pathogenic	0.0
SIM-00149	CORE_HR	Pathogenic	0.0
SIM-00150	CORE_HR	Pathogenic	0.0
SIM-00151	CORE_HR	Pathogenic	0.0
SIM-00152	CORE_HR	Pathogenic	0.0
SIM-00153	CORE_HR	Pathogenic	0.0
SIM-00154	CORE_HR	Pathogenic	0.0
SIM-00155	CORE_HR	Pathogenic	0.0
SIM-00156	CORE_HR	Pathogenic	0.0
SIM-00157	CORE_HR	Pathogenic	0.0
SIM-00158	CORE_HR	Pathogenic	0.0
SIM-00159	CORE_HR	Pathogenic	0.0
SIM-00160	CORE_HR	Pathogenic	0.0
SIM-00161	CORE_HR	Pathogenic	0.0
SIM-00162	CORE_HR	Pathogenic	0.0
SIM-00163	CORE_HR	Pathogenic	0.0
SIM-00164	CORE_HR	Pathogenic	0.0
SIM-00165	CORE_HR	Pathogenic	0.0
SIM-00166	CORE_HR	Pathogenic	0.0
SIM-00167	CORE_HR	Pathogenic	0.0
SIM-00168	CORE_HR	Pathogenic	0.0
SIM-00169	CORE_HR	Pathogenic	0.0
SIM-00170	CORE_HR	Pathogenic	0.0
SIM-00171	CORE_HR	Pathogenic	0.0
SIM-00172	CORE_HR	Pathogenic	0.0
SIM-00173	CORE_HR	Pathogenic	0.0
SIM-00174	CORE_HR	Pathogenic	0.0
SIM-00175	CORE_HR	Pathogenic	0.0
SIM-00176	CORE_HR	Pathogenic	0.0
SIM-00177	CORE_HR	Pathogenic	0.0
SIM-00178	CORE_HR	Pathogenic	0.0
SIM-00179	CORE_HR	Pathogenic	0.0
SIM-00180	CORE_HR	Pathogenic	0.0
SIM-00181	CORE_HR	Pathogenic	0.0
SIM-00182	CORE_HR	Pathogenic	0.0
SIM-00183	CORE_HR	Pathogenic	0.0
SIM-00184	CORE_HR	Pathogenic	0.0
SIM-00185	CORE_HR	Pathogenic	0.0
SIM-00186	CORE_HR	Pathogenic	0.0
SIM-00187	CORE_HR	Pathogenic	0.0
SIM-00188	CORE_HR	Pathogenic	0.0
SIM-00189	CORE_HR	Pathogenic	0.0
SIM-00190	CORE_HR	Pathogenic	0.0
SIM-00191	CORE_HR	Pathogenic	0.0
SIM-00192	CORE_HR	Pathogenic	0.0
SIM-00193	CORE_HR	Pathogenic	0.0
SIM-00194	CORE_HR	Pathogenic	0.0
SIM-00195	CORE_HR	Pathogenic	0.0
SIM-00196	CORE_HR	Pathogenic	0.0
SIM-00197	CORE_HR	Pathogenic	0.0
SIM-00198	CORE_HR	Pathogenic	0.0
SIM-00199	CORE_HR	Pathogenic	0.0
SIM-00200	CORE_HR	Pathogenic	0.0
SIM-00201	CORE_HR	Pathogenic	0.0
SIM-00202	CORE_HR	Pathogenic	0.0
SIM-00203	CORE_HR	Pathogenic	0.0
SIM-00204	CORE_HR	Pathogenic	0.0
SIM-00205	CORE_HR	Pathogenic	0.0
SIM-00206	CORE_HR	Pathogenic	0.0
SIM-00207	CORE_HR	Pathogenic	0.0
SIM-00208	CORE_HR	Pathogenic	0.0
SIM-00209	CORE_HR	Pathogenic	0.0
SIM-00210	CORE_HR	Pathogenic	0.0
SIM-00211	CORE_HR	Pathogenic	0.0
SIM-00212	CORE_HR	Pathogenic	0.0
SIM-00213	CORE_HR	Pathogenic	0.0
SIM-00214	CORE_HR	Pathogenic	0.0
SIM-00215	CORE_HR	Pathogenic	0.0
SIM-00216	CORE_HR	Pathogenic	0.0
SIM-00217	CORE_HR	Pathogenic	0.0
SIM-00218	CORE_HR	Pathogenic	0.925
SIM-00219	CORE_HR	Pathogenic	0.0
SIM-00220	CORE_HR	Pathogenic	0.0
SIM-00221	CORE_HR	Pathogenic	0.0
SIM-00222	CORE_HR	Pathogenic	0.0
