sample_id	total_mutations	sbs3_relative_exposure_true	point_estimate	ci_low	ci_high	n_bootstrap_replicates	value_status
SIM-00028	111	0.3991	0.468468	0.0	0.702703	100	LOW_CONFIDENCE
SIM-00064	44	0.2639	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00082	72	0.304	0.0	0.0	0.666667	100	LOW_CONFIDENCE
SIM-00100	52	0.428	0.0	0.0	0.923077	100	LOW_CONFIDENCE
SIM-00163	48	0.3177	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00166	43	0.3292	0.0	0.0	0.55814	100	LOW_CONFIDENCE
SIM-00207	21	0.3238	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00225	97	0.3674	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00313	95	0.2703	0.0	0.0	0.347368	100	LOW_CONFIDENCE
SIM-00400	71	0.3995	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00423	6	0.4283	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00428	58	0.1332	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00460	42	0.1379	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00529	60	0.3453	0.0	0.0	0.45	100	LOW_CONFIDENCE
SIM-00574	86	0.6005	0.0	0.0	0.697674	100	LOW_CONFIDENCE
SIM-00591	45	0.4297	0.0	0.0	0.688889	100	LOW_CONFIDENCE
SIM-00780	97	0.283	0.0	0.0	0.556701	100	LOW_CONFIDENCE
SIM-00851	29	0.2467	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00875	44	0.2775	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00883	105	0.2159	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00905	67	0.2576	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00947	76	0.1751	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-00994	20	0.4914	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-01046	21	0.4226	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-01082	105	0.1171	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-01146	23	0.3778	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-01151	56	0.3062	0.0	0.0	0.857143	100	LOW_CONFIDENCE
SIM-01227	96	0.2452	0.53125	0.0	0.833333	100	LOW_CONFIDENCE
SIM-01263	55	0.3657	0.0	0.0	0.727273	100	LOW_CONFIDENCE
SIM-01474	67	0.4126	0.0	0.0	0.731343	100	LOW_CONFIDENCE
SIM-01485	105	0.5033	0.0	0.0	0.733333	100	LOW_CONFIDENCE
SIM-01545	80	0.2898	0.0	0.0	0.675	100	LOW_CONFIDENCE
SIM-01554	85	0.3175	0.0	0.0	0.541176	100	LOW_CONFIDENCE
SIM-01675	46	0.1011	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-01743	87	0.4591	0.0	0.0	0.344828	100	LOW_CONFIDENCE
SIM-01753	86	0.2859	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-01960	78	0.0	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-02246	75	0.0814	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-02330	11	0.0	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-02468	30	0.0	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-02537	27	0.0	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-02623	34	0.0	0.0	0.0	0.647059	100	LOW_CONFIDENCE
SIM-03376	12	0.0	0.0	0.0	0.0	100	COMPUTED_ZERO
SIM-03546	13	0.0382	0.0	0.0	0.0	100	COMPUTED_ZERO
