sample_id	total_mutations	bin_label	sbs3_relative_exposure_true	recovered_exome_normalized	recovered_no_normalization	abs_error_normalized	abs_error_no_normalization	normalization_improves
SIM-00028	111	[105,116)	0.3991	0.468468	0.495495	0.069368	0.096395	True
SIM-00064	44	[35,45)	0.2639	0.0	0.0	0.2639	0.2639	False
SIM-00082	72	[65,75)	0.304	0.0	0.0	0.304	0.304	False
SIM-00100	52	[45,55)	0.428	0.0	0.0	0.428	0.428	False
SIM-00163	48	[45,55)	0.3177	0.0	0.0	0.3177	0.3177	False
SIM-00166	43	[35,45)	0.3292	0.0	0.0	0.3292	0.3292	False
SIM-00207	21	[15,25)	0.3238	0.0	0.0	0.3238	0.3238	False
SIM-00225	97	[95,105)	0.3674	0.0	0.0	0.3674	0.3674	False
SIM-00313	95	[95,105)	0.2703	0.0	0.0	0.2703	0.2703	False
SIM-00400	71	[65,75)	0.3995	0.0	0.0	0.3995	0.3995	False
SIM-00423	6	[5,15)	0.4283	0.0	0.0	0.4283	0.4283	False
SIM-00428	58	[55,65)	0.1332	0.0	0.0	0.1332	0.1332	False
SIM-00460	42	[35,45)	0.1379	0.0	0.0	0.1379	0.1379	False
SIM-00529	60	[55,65)	0.3453	0.0	0.55	0.3453	0.2047	False
SIM-00574	86	[85,95)	0.6005	0.0	0.0	0.6005	0.6005	False
SIM-00591	45	[45,55)	0.4297	0.0	0.0	0.4297	0.4297	False
SIM-00780	97	[95,105)	0.283	0.0	0.453608	0.283	0.170608	False
SIM-00851	29	[25,35)	0.2467	0.0	0.0	0.2467	0.2467	False
SIM-00875	44	[35,45)	0.2775	0.0	0.0	0.2775	0.2775	False
SIM-00883	105	[105,116)	0.2159	0.0	0.0	0.2159	0.2159	False
SIM-00905	67	[65,75)	0.2576	0.0	0.0	0.2576	0.2576	False
SIM-00947	76	[75,85)	0.1751	0.0	0.0	0.1751	0.1751	False
SIM-00994	20	[15,25)	0.4914	0.0	0.0	0.4914	0.4914	False
SIM-01023	37	[35,45)	0.3631	0.0	0.0	0.3631	0.3631	False
SIM-01046	21	[15,25)	0.4226	0.0	0.0	0.4226	0.4226	False
SIM-01082	105	[105,116)	0.1171	0.0	0.0	0.1171	0.1171	False
SIM-01146	23	[15,25)	0.3778	0.0	0.0	0.3778	0.3778	False
SIM-01151	56	[55,65)	0.3062	0.0	0.0	0.3062	0.3062	False
SIM-01227	96	[95,105)	0.2452	0.53125	0.0	0.28605	0.2452	False
SIM-01263	55	[55,65)	0.3657	0.0	0.0	0.3657	0.3657	False
SIM-01320	41	[35,45)	0.0818	0.0	0.0	0.0818	0.0818	False
SIM-01384	20	[15,25)	0.2968	0.0	0.0	0.2968	0.2968	False
SIM-01451	95	[95,105)	0.3564	0.0	0.0	0.3564	0.3564	False
SIM-01474	67	[65,75)	0.4126	0.0	0.0	0.4126	0.4126	False
SIM-01485	105	[105,116)	0.5033	0.0	0.0	0.5033	0.5033	False
SIM-01545	80	[75,85)	0.2898	0.0	0.0	0.2898	0.2898	False
