"tumor","true_sbs3_exposure","sigma_sig_max","sigma_max_weighted_likelihood","sigma_rat_sig3"
"SIM-01061","0.841","Signature_3",1,0.861073
"SIM-01567","0.8124","Signature_3",1,0.441289
"SIM-00441","0.8025","Signature_3",0.999995,0.518454
"SIM-01250","0.765","Signature_3",1,0.784935
"SIM-01376","0.7621","Signature_3",1,0.596782
"SIM-01849","0.0","Signature_5",1,0.055026
"SIM-01853","0.0","Signature_5",0.998966,0.277199
"SIM-01855","0.0","Signature_5",1,0.187479
"SIM-01856","0.0","Signature_5",0.999988,0.115479
"SIM-01858","0.0","Signature_5",0.642111,0
