bin_label	n	mean_true_exposure	spa_mean_recovered	spa_mae	spa_n_exact_zero	spa_frac_exact_zero	sigma_mean_recovered	sigma_mae	sigma_n_exact_zero	sigma_frac_exact_zero	spa_mae_le_0.15	sigma_mae_le_0.15
[5,15)	7	0.0949	0.0	0.0949	7	1.0	0.0273	0.0929	2	0.2857	True	True
[15,25)	40	0.1739	0.0	0.1739	40	1.0	0.0458	0.1449	13	0.325	False	True
[25,35)	40	0.1179	0.0142	0.1226	39	0.975	0.071	0.1026	15	0.375	True	True
[35,45)	40	0.1672	0.0	0.1672	40	1.0	0.1259	0.1048	9	0.225	False	True
[45,55)	40	0.1374	0.0118	0.1433	39	0.975	0.1479	0.0956	11	0.275	True	True
[55,65)	40	0.1615	0.0139	0.1548	39	0.975	0.1606	0.1165	9	0.225	False	True
[65,75)	40	0.1568	0.0273	0.1607	38	0.95	0.2116	0.1121	3	0.075	False	True
[75,85)	40	0.1111	0.0202	0.1067	38	0.95	0.2085	0.1318	6	0.15	True	True
[85,95)	40	0.1687	0.0365	0.168	37	0.925	0.2852	0.1431	3	0.075	False	True
[95,105)	40	0.1592	0.0471	0.1559	36	0.9	0.2885	0.1674	6	0.15	False	False
[105,116)	15	0.1469	0.0652	0.1114	13	0.8667	0.3186	0.1891	3	0.2	True	False
