sample_id,bin_label,total_mutations,true,sigma_recovered,spa_recovered
SIM-00028,"[105,116)",111,0.3991,0.5981551241153921,0.468468
SIM-00064,"[35,45)",44,0.2639,0.123610495440044,0.0
SIM-00082,"[65,75)",72,0.304,0.382383679312563,0.0
SIM-00100,"[45,55)",52,0.428,0.350144206630415,0.0
SIM-00163,"[45,55)",48,0.3177,0.21974192151969799,0.0
SIM-00166,"[35,45)",43,0.3292,0.25423516645342903,0.0
SIM-00207,"[15,25)",21,0.3238,0.020969867908775402,0.0
SIM-00225,"[95,105)",97,0.3674,0.486370503486928,0.0
SIM-00313,"[95,105)",95,0.2703,0.0,0.0
SIM-00400,"[65,75)",71,0.3995,0.169455226434591,0.0
SIM-00423,"[5,15)",6,0.4283,0.026032849200100298,0.0
SIM-00428,"[55,65)",58,0.1332,0.0772957629389822,0.0
SIM-00460,"[35,45)",42,0.1379,0.0594521640974422,0.0
SIM-00529,"[55,65)",60,0.3453,0.221344769378429,0.0
SIM-00574,"[85,95)",86,0.6005,0.41874066441632896,0.0
SIM-00591,"[45,55)",45,0.4297,0.240236632871763,0.0
SIM-00780,"[95,105)",97,0.283,0.594411734897625,0.0
SIM-00851,"[25,35)",29,0.2467,0.0856242160109732,0.0
SIM-00875,"[35,45)",44,0.2775,0.284993914979703,0.0
SIM-00883,"[105,116)",105,0.2159,0.44134149341295803,0.0
SIM-00905,"[65,75)",67,0.2576,0.188357866725955,0.0
SIM-00947,"[75,85)",76,0.1751,0.39825093151385405,0.0
SIM-00994,"[15,25)",20,0.4914,0.08931957984629911,0.0
SIM-01023,"[35,45)",37,0.3631,0.20197831076919598,0.0
SIM-01046,"[15,25)",21,0.4226,0.0,0.0
SIM-01082,"[105,116)",105,0.1171,0.292493024143259,0.0
SIM-01146,"[15,25)",23,0.3778,0.17029245752304298,0.0
SIM-01151,"[55,65)",56,0.3062,0.26661281659654,0.0
SIM-01227,"[95,105)",96,0.2452,0.555936402366424,0.53125
SIM-01263,"[55,65)",55,0.3657,0.263563162222582,0.0
SIM-01320,"[35,45)",41,0.0818,0.0,0.0
SIM-01384,"[15,25)",20,0.2968,0.0484307172420744,0.0
SIM-01451,"[95,105)",95,0.3564,0.312812825351173,0.0
SIM-01474,"[65,75)",67,0.4126,0.315876229824736,0.0
SIM-01485,"[105,116)",105,0.5033,0.665714239858427,0.0
SIM-01545,"[75,85)",80,0.2898,0.49858712772511604,0.0
SIM-01554,"[85,95)",85,0.3175,0.360959391373159,0.0
SIM-01591,"[35,45)",41,0.3914,0.249872701975593,0.0
SIM-01608,"[55,65)",61,0.0028,0.0,0.0
SIM-01609,"[55,65)",63,0.4119,0.374028915650645,0.555556
SIM-01675,"[45,55)",46,0.1011,0.18961450659460902,0.0
SIM-01680,"[55,65)",57,0.1679,0.0,0.0
SIM-01717,"[95,105)",95,0.3464,0.539199822908894,0.0
SIM-01719,"[55,65)",58,0.4126,0.157729699933399,0.0
SIM-01743,"[85,95)",87,0.4591,0.46054310516047203,0.0
SIM-01748,"[35,45)",36,0.5075,0.280902159961381,0.0
SIM-01753,"[85,95)",86,0.2859,0.46056032818250103,0.0
SIM-01777,"[65,75)",72,0.3965,0.232530383608183,0.0
SIM-01838,"[15,25)",18,0.1203,0.0795565387045469,0.0
SIM-01896,"[15,25)",24,0.0345,0.0929609239984722,0.0
SIM-01899,"[35,45)",43,0.0,0.0617378192519354,0.0
SIM-01960,"[75,85)",78,0.0,0.139275179056004,0.0
SIM-01992,"[95,105)",98,0.0282,0.332940623912934,0.295918
SIM-01993,"[45,55)",53,0.1372,0.370695917338738,0.0
SIM-02010,"[95,105)",99,0.0,0.549807781769727,0.0
SIM-02013,"[55,65)",61,0.0,0.16296260051383998,0.0
SIM-02053,"[35,45)",44,0.0,0.057027501175729904,0.0
SIM-02058,"[55,65)",64,0.0448,0.174452826904128,0.0
SIM-02101,"[95,105)",102,0.0,0.19168408815234098,0.0
SIM-02188,"[15,25)",20,0.234,0.047747312515221595,0.0
SIM-02246,"[75,85)",75,0.0814,0.307584013544096,0.0
SIM-02330,"[5,15)",11,0.0,0.021828006504521297,0.0
SIM-02393,"[45,55)",49,0.0,0.0,0.0
SIM-02419,"[65,75)",71,0.2824,0.353681835286943,0.0
SIM-02432,"[65,75)",65,0.3471,0.232170883924198,0.0
SIM-02433,"[55,65)",56,0.0515,0.193702933932853,0.0
SIM-02468,"[25,35)",30,0.0,0.11051426425118899,0.0
SIM-02469,"[75,85)",77,0.0,0.0,0.0
SIM-02481,"[85,95)",90,0.0,0.33837829608277803,0.0
SIM-02483,"[65,75)",73,0.0,0.22151813006041401,0.0
SIM-02537,"[25,35)",27,0.0,0.0,0.0
SIM-02568,"[85,95)",94,0.0,0.118741049731111,0.0
SIM-02609,"[105,116)",105,0.0,0.252224695360566,0.0
SIM-02617,"[35,45)",43,0.0,0.0,0.0
SIM-02623,"[25,35)",34,0.0,0.165495933758386,0.0
SIM-02633,"[85,95)",92,0.0334,0.13946195492695598,0.0
SIM-02644,"[85,95)",88,0.0,0.11314740211063899,0.0
SIM-02652,"[105,116)",110,0.3557,0.6952496870600371,0.509091
SIM-02682,"[25,35)",31,0.0,0.0791475590570397,0.0
SIM-02723,"[85,95)",87,0.0,0.14092768514832799,0.0
SIM-02767,"[55,65)",63,0.0095,0.08688771365457161,0.0
SIM-02792,"[25,35)",33,0.0,0.154484857009894,0.0
SIM-02800,"[55,65)",55,0.0276,0.0,0.0
SIM-02873,"[15,25)",23,0.0521,0.0773632078435012,0.0
SIM-02898,"[25,35)",30,0.0311,0.0950309636370781,0.0
SIM-02910,"[75,85)",82,0.0,0.237385346079751,0.0
SIM-02931,"[25,35)",29,0.0,0.0832891228807012,0.0
SIM-02936,"[45,55)",53,0.0961,0.09611775195293759,0.0
SIM-02944,"[35,45)",41,0.1301,0.0406785713239318,0.0
SIM-02968,"[25,35)",25,0.1836,0.138175457884269,0.0
SIM-03018,"[15,25)",23,0.0,0.0,0.0
