Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SIM-00028__rep0	111	0.693	105.785	95.302%	15.021	72.186%	0.83685	0.515
SIM-00028__rep1	111	0.648	108.049	97.341%	15.708	76.375%	0.8294	0.417
SIM-00028__rep2	111	0.655	107.417	96.772%	14.798	75.614%	0.7923	0.378
SIM-00028__rep3	111	0.717	104.584	94.22%	14.081	69.969%	0.79638	0.543
SIM-00028__rep4	111	0.708	101.735	91.653%	13.915	70.734%	0.76051	0.505
SIM-00028__rep5	111	0.617	106.107	95.592%	15.89	78.764%	0.833	0.316
SIM-00028__rep6	111	0.661	114.656	103.294%	15.844	75.108%	0.8733	0.458
SIM-00028__rep7	111	0.674	105.898	95.404%	14.308	75.726%	0.86519	0.438
SIM-00028__rep8	111	0.698	102.562	92.398%	14.756	73.688%	0.88946	0.527
SIM-00028__rep9	111	0.604	117.386	105.753%	17.349	79.94%	1.05075	0.368
SIM-00028__rep10	111	0.673	104.436	94.086%	14.891	73.994%	0.75684	0.447
SIM-00028__rep11	111	0.601	111.884	100.796%	16.111	80.255%	0.91206	0.284
SIM-00028__rep12	111	0.673	109.667	98.799%	15.268	74.589%	0.86898	0.476
SIM-00028__rep13	111	0.699	91.512	82.443%	13.158	72.105%	0.71101	0.434
SIM-00028__rep14	111	0.65	104.224	93.895%	15.309	76.26%	0.80798	0.401
SIM-00028__rep15	111	0.72	92.447	83.286%	13.222	69.398%	0.68457	0.506
SIM-00028__rep16	111	0.61	110.747	99.772%	15.818	79.388%	0.84164	0.289
SIM-00028__rep17	111	0.591	108.343	97.606%	16.535	80.779%	0.86382	0.269
SIM-00028__rep18	111	0.602	126.86	114.288%	17.805	80.19%	0.9373	0.385
SIM-00028__rep19	111	0.644	107.493	96.841%	16.087	76.779%	0.92065	0.424
SIM-00028__rep20	111	0.655	107.175	96.554%	15.1	76.56%	0.95076	0.418
SIM-00028__rep21	111	0.613	108.254	97.526%	15.467	80.301%	0.82757	0.304
SIM-00028__rep22	111	0.622	114.453	103.111%	16.33	79.399%	0.9331	0.386
SIM-00028__rep23	111	0.696	111.926	100.834%	15.162	71.875%	0.81412	0.528
SIM-00028__rep24	111	0.631	114.74	103.369%	15.884	77.598%	0.87245	0.368
SIM-00028__rep25	111	0.638	106.948	96.35%	16.018	76.978%	0.84861	0.397
SIM-00028__rep26	111	0.72	101.043	91.03%	14.213	69.601%	0.76634	0.556
SIM-00028__rep27	111	0.723	101.073	91.057%	13.985	69.151%	0.72942	0.551
SIM-00028__rep28	111	0.649	104.462	94.11%	16.82	77.175%	0.8785	0.474
