Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SIM-00001	62	0.67	61.857	99.769%	8.166	75.819%	0.82653	0.444
SIM-00002	58	0.785	50.956	87.855%	6.496	61.937%	0.69026	0.662
SIM-00003	74	0.723	64.616	87.319%	8.348	69.567%	0.72482	0.475
SIM-00004	77	0.771	64.218	83.4%	8.569	64.409%	0.58663	0.625
SIM-00005	50	0.67	54.959	109.918%	7.159	75.462%	0.95555	0.494
SIM-00006	63	0.781	54.601	86.668%	6.706	62.534%	0.67617	0.627
SIM-00007	79	0.748	64.375	81.487%	8.102	66.374%	0.58795	0.468
SIM-00008	67	0.693	58.445	87.231%	7.542	72.239%	0.65445	0.326
SIM-00009	51	0.709	46.03	90.255%	5.93	71.389%	0.80183	0.457
SIM-00010	42	0.659	47.129	112.212%	6.7	75.863%	1.01777	0.519
SIM-00011	54	0.691	49.953	92.506%	7.056	72.777%	0.80666	0.488
SIM-00012	48	0.643	52.447	109.265%	6.854	76.63%	0.92817	0.402
SIM-00013	73	0.761	62.421	85.508%	8.089	66.268%	0.71079	0.595
SIM-00014	59	0.72	55.164	93.498%	7.389	70.133%	0.80623	0.546
SIM-00015	56	0.653	57.503	102.684%	7.198	75.874%	0.85067	0.327
SIM-00016	44	0.642	46.765	106.284%	5.943	76.724%	0.91173	0.345
SIM-00017	80	0.816	62.367	77.959%	8.583	58.672%	0.63576	0.724
SIM-00018	100	0.765	77.344	77.344%	9.99	65.029%	0.49556	0.528
SIM-00019	64	0.807	54.835	85.68%	6.83	59.448%	0.69107	0.7
SIM-00020	63	0.713	62.105	98.579%	8.065	71.008%	0.82322	0.54
SIM-00021	69	0.79	50.788	73.606%	6.688	61.309%	0.5506	0.597
SIM-00022	38	0.684	42.022	110.584%	5.457	72.922%	1.00616	0.523
SIM-00023	68	0.799	55.361	81.413%	7.45	60.427%	0.75695	0.69
SIM-00024	72	0.824	52.734	73.242%	6.94	56.665%	0.53922	0.706
SIM-00025	59	0.723	47.039	79.727%	6.747	69.223%	0.66042	0.481
SIM-00026	79	0.774	66.066	83.628%	8.616	63.346%	0.60025	0.619
SIM-00027	87	0.818	61.077	70.203%	7.751	60.341%	0.48464	0.653
SIM-00028	111	0.794	77.331	69.668%	10.307	63.078%	0.48144	0.59
SIM-00029	56	0.673	54.998	98.211%	7.403	74.782%	0.84946	0.447
SIM-00030	57	0.706	56.531	99.177%	7.323	70.794%	0.82169	0.517
SIM-00031	77	0.742	71.041	92.261%	9.086	67.166%	0.70499	0.571
SIM-00032	46	0.647	49.528	107.67%	6.757	76.508%	0.98014	0.444
SIM-00033	58	0.721	56.586	97.562%	7.5	70.244%	0.87089	0.567
SIM-00034	65	0.702	64.243	98.835%	8.096	73.6%	0.77362	0.499
SIM-00035	70	0.672	65.093	92.99%	9.135	74.095%	0.76165	0.421
SIM-00036	70	0.701	65.741	93.916%	8.503	71.356%	0.73476	0.454
SIM-00037	47	0.612	52.409	111.509%	7.303	80.161%	1.04886	0.399
SIM-00038	82	0.767	66.019	80.511%	8.841	64.139%	0.6041	0.59
SIM-00039	66	0.677	62.068	94.042%	8.66	74.811%	0.85231	0.458
SIM-00040	58	0.649	57.677	99.443%	7.934	77.799%	0.84786	0.41
SIM-00041	58	0.724	53.805	92.767%	6.934	69.34%	0.80145	0.526
SIM-00042	52	0.747	49.506	95.204%	6.382	66.537%	0.77124	0.602
SIM-00043	52	0.667	51.404	98.854%	7.031	74.951%	0.81563	0.445
SIM-00044	56	0.726	51.476	91.921%	6.461	68.874%	0.74409	0.503
SIM-00045	55	0.65	59.884	108.88%	8.126	80.857%	1.09997	0.474
SIM-00046	67	0.694	63.542	94.839%	8.416	72.976%	0.88673	0.475
SIM-00047	40	0.718	41.384	103.46%	5.749	69.717%	0.90245	0.6
SIM-00048	69	0.766	59.863	86.758%	7.854	64.342%	0.66339	0.619
SIM-00049	63	0.714	55.424	87.975%	7.24	69.992%	0.69447	0.45
SIM-00050	60	0.742	55.495	92.492%	7.393	67.489%	0.78754	0.596
SIM-00051	76	0.757	66.137	87.022%	8.639	65.492%	0.69973	0.593
SIM-00052	74	0.794	60.685	82.007%	7.807	60.962%	0.62345	0.662
SIM-00053	73	0.809	52.572	72.016%	6.425	59.399%	0.48753	0.602
SIM-00054	47	0.688	48.128	102.4%	6.452	72.591%	0.88204	0.507
SIM-00055	70	0.716	59.489	84.984%	8.36	71.165%	0.71612	0.506
SIM-00056	48	0.669	45.013	93.777%	6.259	74.809%	0.82476	0.418
SIM-00057	38	0.674	39.799	104.734%	5.46	74.301%	1.10766	0.503
SIM-00058	87	0.734	77.718	89.331%	10.048	67.898%	0.67857	0.529
SIM-00059	63	0.815	56.287	89.344%	7.309	57.964%	0.70963	0.74
SIM-00060	41	0.597	45.735	111.549%	5.972	80.526%	1.01435	0.272
SIM-00061	54	0.64	60.876	112.733%	7.907	76.8%	0.93002	0.416
SIM-00062	72	0.764	59.04	82.0%	8.21	66.158%	0.68221	0.619
SIM-00063	72	0.737	57.695	80.132%	7.359	67.745%	0.58897	0.412
SIM-00064	44	0.528	53.99	122.705%	7.07	85.736%	1.26774	0.152
SIM-00065	37	0.693	39.694	107.281%	5.162	72.282%	0.97563	0.533
SIM-00066	90	0.67	81.367	90.408%	10.257	74.807%	0.68825	0.227
SIM-00067	53	0.853	40.547	76.504%	5.259	52.329%	0.60934	0.786
SIM-00068	47	0.716	46.408	98.74%	6.449	69.949%	0.86374	0.577
SIM-00069	46	0.793	42.057	91.428%	5.312	60.933%	0.77515	0.691
SIM-00070	45	0.657	48.92	108.711%	7.125	75.525%	0.98434	0.508
SIM-00071	63	0.762	52.575	83.452%	6.939	65.277%	0.70414	0.592
SIM-00072	76	0.709	68.921	90.686%	8.535	70.636%	0.67219	0.398
SIM-00073	66	0.674	64.647	97.95%	9.295	73.947%	0.7832	0.488
SIM-00074	88	0.762	68.338	77.657%	9.126	64.856%	0.57432	0.546
SIM-00075	68	0.771	54.543	80.21%	7.111	66.601%	0.65061	0.594
SIM-00076	29	0.661	33.999	117.238%	5.077	75.683%	1.27289	0.554
SIM-00077	66	0.704	60.864	92.218%	8.233	72.77%	0.83142	0.505
SIM-00078	58	0.75	50.553	87.16%	6.749	66.825%	0.7824	0.588
SIM-00079	36	0.602	40.751	113.197%	5.515	81.314%	1.06402	0.364
SIM-00080	63	0.785	54.835	87.04%	7.065	62.204%	0.65422	0.663
