Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SIM-00028	111	0.783	73.802	66.488%	10.711	62.152%	0.43915	0.566
SIM-00064	44	0.742	45.762	104.005%	5.693	67.093%	0.92357	0.614
SIM-00082	72	0.768	56.385	78.312%	7.11	64.905%	0.58069	0.533
SIM-00100	52	0.772	45.66	87.808%	5.769	63.708%	0.67913	0.622
SIM-00163	48	0.738	45.239	94.248%	5.889	67.551%	0.79188	0.581
SIM-00166	43	0.782	37.409	86.998%	4.709	62.372%	0.74657	0.644
SIM-00207	21	0.659	27.23	129.667%	4.609	75.771%	1.31735	0.6
SIM-00225	97	0.814	63.145	65.098%	8.397	58.083%	0.43885	0.604
SIM-00313	95	0.796	74.128	78.029%	9.588	62.02%	0.5825	0.648
SIM-00400	71	0.745	61.901	87.185%	8.31	66.748%	0.72847	0.575
SIM-00423	6	0.526	9.642	160.7%	2.116	86.385%	2.13852	0.499
SIM-00428	58	0.776	51.975	89.612%	6.617	63.091%	0.70127	0.645
SIM-00460	42	0.694	38.86	92.524%	5.763	73.19%	0.84559	0.531
SIM-00529	60	0.692	57.245	95.408%	7.293	72.211%	0.75029	0.419
SIM-00574	86	0.78	66.074	76.83%	8.5	62.663%	0.57387	0.571
SIM-00591	45	0.759	45.501	101.113%	6.161	66.053%	0.80804	0.679
SIM-00780	97	0.836	66.788	68.854%	8.739	54.942%	0.49224	0.714
SIM-00851	29	0.686	31.826	109.745%	5.093	72.757%	1.11211	0.596
SIM-00875	44	0.781	39.727	90.289%	5.511	62.4%	0.87114	0.689
SIM-00883	105	0.819	73.137	69.654%	9.24	57.415%	0.45122	0.641
SIM-00905	67	0.768	54.745	81.709%	7.187	64.282%	0.61829	0.591
SIM-00947	76	0.788	57.826	76.087%	7.438	61.557%	0.5583	0.597
SIM-00994	20	0.607	27.629	138.145%	4.204	79.448%	1.41669	0.509
SIM-01023	37	0.7	39.666	107.205%	4.904	71.532%	0.91802	0.526
SIM-01046	21	0.702	24.65	117.381%	3.575	71.5%	1.17303	0.618
SIM-01082	105	0.878	65.32	62.21%	8.798	47.784%	0.46182	0.809
SIM-01146	23	0.635	30.091	130.83%	4.17	77.435%	1.2695	0.517
SIM-01151	56	0.729	50.431	90.055%	6.873	69.428%	0.83367	0.56
SIM-01227	96	0.745	78.532	81.804%	10.089	66.816%	0.57962	0.49
SIM-01263	55	0.741	49.699	90.362%	6.35	67.31%	0.7592	0.555
SIM-01320	41	0.844	40.064	97.717%	5.501	55.287%	0.7864	0.814
SIM-01384	20	0.597	25.429	127.145%	3.938	80.384%	1.42154	0.474
SIM-01451	95	0.816	62.487	65.776%	8.246	58.454%	0.4407	0.62
SIM-01474	67	0.737	59.982	89.525%	7.851	68.595%	0.69503	0.557
SIM-01485	105	0.785	75.015	71.443%	9.772	61.928%	0.51049	0.538
SIM-01545	80	0.735	70.045	87.556%	9.699	67.907%	0.69558	0.566
SIM-01554	85	0.8	64.562	75.955%	8.314	60.158%	0.51185	0.641
SIM-01591	41	0.632	45.952	112.078%	6.158	77.584%	1.06021	0.414
SIM-01608	61	0.872	41.291	67.69%	5.138	49.213%	0.48278	0.797
SIM-01609	63	0.766	50.075	79.484%	6.531	64.352%	0.61549	0.557
SIM-01675	46	0.748	43.564	94.704%	5.95	66.523%	0.84998	0.628
SIM-01680	57	0.745	54.088	94.891%	6.818	67.18%	0.82495	0.589
SIM-01717	95	0.809	63.878	67.24%	8.301	58.844%	0.43094	0.59
SIM-01719	58	0.812	45.232	77.986%	5.68	58.585%	0.58812	0.679
SIM-01743	87	0.756	71.224	81.867%	9.506	65.754%	0.63126	0.565
SIM-01748	36	0.701	35.67	99.083%	4.757	71.714%	0.97848	0.523
SIM-01753	86	0.738	71.614	83.272%	9.865	68.075%	0.67647	0.544
SIM-01777	72	0.779	55.731	77.404%	7.384	63.788%	0.63568	0.605
SIM-01838	18	0.612	23.962	133.122%	3.715	79.204%	1.39298	0.511
SIM-01896	24	0.719	25.924	108.017%	3.805	69.469%	1.12284	0.63
SIM-01899	43	0.732	44.127	102.621%	6.152	68.356%	0.92528	0.627
SIM-01960	78	0.765	64.85	83.141%	8.913	64.662%	0.6301	0.619
SIM-01992	98	0.817	74.532	76.053%	9.551	57.7%	0.55411	0.691
SIM-01993	53	0.768	45.18	85.245%	6.434	64.021%	0.70036	0.651
SIM-02010	99	0.837	66.469	67.14%	8.75	54.795%	0.43223	0.707
