Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SIM-00028	111	0.744	81.482	73.407%	11.527	66.886%	0.52429	0.469
SIM-00064	44	0.687	48.347	109.88%	6.289	74.117%	1.0283	0.536
SIM-00082	72	0.733	59.666	82.869%	7.653	69.862%	0.62838	0.467
SIM-00100	52	0.723	49.677	95.533%	6.263	69.163%	0.78197	0.523
SIM-00163	48	0.677	48.856	101.783%	6.483	74.365%	0.88591	0.474
SIM-00166	43	0.676	42.737	99.388%	5.561	73.657%	0.81503	0.425
SIM-00207	21	0.687	26.642	126.867%	4.438	72.96%	1.37326	0.632
SIM-00225	97	0.754	69.642	71.796%	9.537	65.969%	0.50756	0.45
SIM-00313	95	0.805	72.25	76.053%	9.514	61.541%	0.56627	0.673
SIM-00400	71	0.755	63.187	88.996%	8.171	65.631%	0.6986	0.593
SIM-00423	6	0.481	9.017	150.283%	2.149	87.733%	2.51931	0.425
SIM-00428	58	0.742	54.529	94.016%	7.053	67.248%	0.77392	0.587
SIM-00460	42	0.707	40.094	95.462%	5.598	71.095%	0.80358	0.543
SIM-00529	60	0.684	57.921	96.535%	7.45	73.766%	0.79903	0.432
SIM-00574	86	0.747	71.258	82.858%	9.233	68.067%	0.67351	0.529
SIM-00591	45	0.662	49.731	110.513%	7.007	75.123%	0.96414	0.512
SIM-00780	97	0.774	78.294	80.715%	10.657	67.0%	0.62787	0.629
SIM-00851	29	0.543	39.005	134.5%	6.058	86.543%	1.56603	0.408
SIM-00875	44	0.718	42.357	96.266%	6.168	69.839%	0.90139	0.592
SIM-00883	105	0.774	82.313	78.393%	10.269	63.808%	0.51378	0.547
SIM-00905	67	0.711	60.911	90.912%	7.859	70.293%	0.68994	0.459
SIM-00947	76	0.719	68.958	90.734%	8.411	69.61%	0.67227	0.427
SIM-00994	20	0.54	25.937	129.685%	4.491	84.872%	1.52216	0.419
SIM-01023	37	0.635	41.534	112.254%	5.364	78.242%	1.03587	0.41
SIM-01046	21	0.663	24.959	118.852%	3.746	74.92%	1.21355	0.56
SIM-01082	105	0.851	72.983	69.508%	9.691	52.634%	0.4807	0.766
SIM-01146	23	0.624	30.327	131.857%	4.21	78.178%	1.31274	0.498
SIM-01151	56	0.646	59.339	105.962%	7.563	76.398%	0.86387	0.357
SIM-01227	96	0.765	78.03	81.281%	9.732	64.452%	0.57216	0.532
