Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SIM-00028	111	0.744	81.482	73.407%	11.527	66.886%	0.52429	0.469
SIM-00064	44	0.687	48.347	109.88%	6.289	74.117%	1.0283	0.536
SIM-00082	72	0.777	54.93	76.292%	6.897	62.961%	0.54174	0.532
SIM-00100	52	0.723	49.677	95.533%	6.263	69.163%	0.78197	0.523
SIM-00163	48	0.677	48.856	101.783%	6.483	74.365%	0.88591	0.474
SIM-00166	43	0.767	36.887	85.784%	4.86	64.372%	0.77636	0.617
SIM-00207	21	0.687	26.642	126.867%	4.438	72.96%	1.37326	0.632
SIM-00225	97	0.775	68.677	70.801%	9.163	63.382%	0.50032	0.507
SIM-00313	95	0.811	71.864	75.646%	9.285	60.06%	0.58421	0.678
SIM-00400	71	0.755	63.187	88.996%	8.171	65.631%	0.6986	0.593
SIM-00423	6	0.481	9.017	150.283%	2.149	87.733%	2.51931	0.425
SIM-00428	58	0.755	54.972	94.779%	6.883	65.627%	0.73288	0.607
SIM-00460	42	0.707	40.094	95.462%	5.598	71.095%	0.80358	0.543
SIM-00529	60	0.76	54.311	90.518%	6.569	65.043%	0.71019	0.575
SIM-00574	86	0.747	71.258	82.858%	9.233	68.067%	0.67351	0.529
SIM-00591	45	0.662	49.731	110.513%	7.007	75.123%	0.96414	0.512
SIM-00780	97	0.816	69.983	72.147%	9.202	57.852%	0.5412	0.677
SIM-00851	29	0.543	39.005	134.5%	6.058	86.543%	1.56603	0.408
SIM-00875	44	0.658	46.877	106.539%	6.73	76.202%	1.04041	0.499
SIM-00883	105	0.774	81.712	77.821%	10.217	63.485%	0.52588	0.535
SIM-00905	67	0.714	59.988	89.534%	7.828	70.016%	0.68137	0.467
SIM-00947	76	0.754	63.698	83.813%	8.008	66.275%	0.68919	0.535
SIM-00994	20	0.574	27.856	139.28%	4.364	82.472%	1.63221	0.467
SIM-01023	37	0.66	39.957	107.992%	5.168	75.383%	0.98075	0.442
SIM-01046	21	0.663	24.959	118.852%	3.746	74.92%	1.21355	0.56
SIM-01082	105	0.851	72.983	69.508%	9.691	52.634%	0.4807	0.766
SIM-01146	23	0.624	30.327	131.857%	4.21	78.178%	1.31274	0.498
SIM-01151	56	0.702	56.663	101.184%	7.052	71.236%	0.84981	0.49
SIM-01227	96	0.765	78.03	81.281%	9.732	64.452%	0.57216	0.532
