row_id	point_estimate	ci_low	ci_high	tiers_spanned	upper_point_ratio	acmg_tier	gate8_status	reason
CORE_HR/LumA	81.718781	49.704314	141.69905	1	1.734	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/LumB	90.204949	48.103017	186.517456	1	2.0677	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/HER2E	158.335476	60.325396	964.357515	2	6.0906	PATHOGENIC_STRONG	INFORMATIVE	
CORE_HR/Basal	3.201332	1.997811	5.357761	3	1.6736		UNINFORMATIVE	interval spans 3 ACMG tiers (from NO_EVIDENCE to PATHOGENIC_MODERATE), exceeding MAX_TIERS_SPANNED=2
CORE_HR/Normal-like	196.82788	36.505528	3567405.795597	2	18124.4943		UNINFORMATIVE	CI upper bound is 18124.49x the point estimate, exceeding MAX_UPPER_POINT_RATIO=18.7; CI upper bound 3.56741e+06 exceeds ABSOLUTE_UPPER_CEILING=10000
DDR_SIGNALING/LumA	21.496397	13.548851	35.301554	2	1.6422	PATHOGENIC_STRONG	INFORMATIVE	
DDR_SIGNALING/LumB	16.271367	9.418152	30.912838	2	1.8998	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/HER2E	17.096036	8.585946	37.957386	2	2.2202	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/Basal	6.188223	3.948347	10.694621	2	1.7282	PATHOGENIC_MODERATE	INFORMATIVE	
DDR_SIGNALING/Normal-like	10.421422	2.155591	249.270794	3	23.9191		UNINFORMATIVE	interval spans 3 ACMG tiers (from PATHOGENIC_SUPPORTING to PATHOGENIC_STRONG), exceeding MAX_TIERS_SPANNED=2; CI upper bound is 23.92x the point estimate, exceeding MAX_UPPER_POINT_RATIO=18.7
