tier	v1_figure	tolerance_rel	tolerance_abs	values_scanned_count	any_match_found	matching_locations
TIER_1_DESIGN_LEVEL_TRUTH	-3.54	0.001	1e-06	16	False	
TIER_1_DESIGN_LEVEL_TRUTH	34.0	0.001	1e-06	16	False	
TIER_1_DESIGN_LEVEL_TRUTH	0.9598	0.001	1e-06	16	False	
TIER_1_DESIGN_LEVEL_TRUTH	0.9976	0.001	1e-06	16	False	
TIER_1_DESIGN_LEVEL_TRUTH	15.13	0.001	1e-06	16	False	
TIER_1_DESIGN_LEVEL_TRUTH	4.45	0.001	1e-06	16	False	
TIER_1_DESIGN_LEVEL_TRUTH	0.99	0.001	1e-06	16	False	
TIER_1_DESIGN_LEVEL_TRUTH	80.0	0.001	1e-06	16	False	
TIER_1_DESIGN_LEVEL_TRUTH	91.7	0.001	1e-06	16	False	
TIER_2_RAW_PER_OBSERVATION	-3.54	0.001	1e-06	1197504	False	
TIER_2_RAW_PER_OBSERVATION	34.0	0.001	1e-06	1197504	True	SIMULATED_sample_metadata.tsv:row26:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row43:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row67:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row89:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row143:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row168:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row194:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row265:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row269:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row314:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row319:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row324:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row356:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row390:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row431:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row466:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row498:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row503:normal_depth=34.0; SIMULATED_sample_metadata.tsv:row515:gis_score=33.976; SIMULATED_sample_metadata.tsv:row594:normal_depth=34.0 ... (11548 total)
TIER_2_RAW_PER_OBSERVATION	0.9598	0.001	1e-06	1197504	False	
TIER_2_RAW_PER_OBSERVATION	0.9976	0.001	1e-06	1197504	True	SIMULATED_sample_metadata.tsv:row7498:gis_score=0.9978
