arm	lambda	mixture_lr	injected_value	relative_bias	is_cv_selected_lambda
CORE_HR	0.001	6.179905737061564	5.826333463989027	0.060685210563018954	False
CORE_HR	0.01	6.179272818756518	5.826333463989027	0.060576579927824704	False
CORE_HR	0.03	6.177867140802941	5.826333463989027	0.060335317054309986	False
CORE_HR	0.1	6.17295601550625	5.826333463989027	0.0594923983770586	False
CORE_HR	0.3	6.158998709927003	5.826333463989027	0.057096842807588866	False
CORE_HR	1.0	6.110998125158699	5.826333463989027	0.048858285048239435	False
CORE_HR	3.0	5.980686874041082	5.826333463989027	0.026492374836777046	False
CORE_HR	10.0	5.590130038049969	5.826333463989027	-0.04054066376374897	False
CORE_HR	30.0	4.822998382715588	5.826333463989027	-0.17220694412271081	True
CORE_HR	60.0	4.139213118071741	5.826333463989027	-0.28956810597006083	False
CORE_HR	100.0	3.5951131679647443	5.826333463989027	-0.382954444645993	False
CORE_HR	200.0	2.8926075240207068	5.826333463989027	-0.50352866997759	False
CORE_HR	500.0	2.143264670727457	5.826333463989027	-0.6321417776764084	False
CORE_HR	1000.0	1.7371933813608647	5.826333463989027	-0.7018376321750237	False
DDR_SIGNALING	0.001	5.973126563921183	5.154487467493152	0.15882065900650452	False
DDR_SIGNALING	0.01	5.972948114646035	5.154487467493152	0.1587860388282086	False
DDR_SIGNALING	0.03	5.972551623914398	5.154487467493152	0.1587091173623718	False
DDR_SIGNALING	0.1	5.9711645925191155	5.154487467493152	0.1584400253519577	False
DDR_SIGNALING	0.3	5.967207515575854	5.154487467493152	0.15767232983068294	False
DDR_SIGNALING	1.0	5.95342578232804	5.154487467493152	0.15499859488909487	False
DDR_SIGNALING	3.0	5.914621386581056	5.154487467493152	0.1474703205472318	False
DDR_SIGNALING	10.0	5.785073077408164	5.154487467493152	0.12233720886738184	False
DDR_SIGNALING	30.0	5.4601265482172865	5.154487467493152	0.059295726811181795	False
DDR_SIGNALING	60.0	5.065590217447251	5.154487467493152	-0.0172465740981103	False
DDR_SIGNALING	100.0	4.655099019128405	5.154487467493152	-0.0968842104116359	True
DDR_SIGNALING	200.0	3.953774393795754	5.154487467493152	-0.23294519217860402	False
DDR_SIGNALING	500.0	2.9300023335228564	5.154487467493152	-0.4315628174477177	False
DDR_SIGNALING	1000.0	2.250670590185788	5.154487467493152	-0.5633570545316728	False
