test_case	class_ratio_label	n_pathogenic_ref	n_benign_ref	recovered_lr	replicate_index
CORE_HR	1:1	300	300	4.942305954851095	0
CORE_HR	1:1	300	300	4.140228080839254	1
CORE_HR	1:1	300	300	4.350516617414439	2
CORE_HR	1:1	300	300	4.4006589649385655	3
CORE_HR	1:1	300	300	4.719995422649949	4
CORE_HR	1:5	60	300	3.9509008581858653	0
CORE_HR	1:5	60	300	2.9233299567123776	1
CORE_HR	1:5	60	300	4.475984597999537	2
CORE_HR	1:5	60	300	3.749109618182807	3
CORE_HR	1:5	60	300	3.9784900404793304	4
CORE_HR	1:20	15	300	2.745179247799579	0
CORE_HR	1:20	15	300	4.751129605479345	1
CORE_HR	1:20	15	300	4.788958658443517	2
CORE_HR	1:20	15	300	4.584827230713702	3
CORE_HR	1:20	15	300	5.406580712515103	4
DDR_SIGNALING	1:1	300	300	2.530604562441801	0
DDR_SIGNALING	1:1	300	300	3.9218085447451014	1
DDR_SIGNALING	1:1	300	300	4.20891696953745	2
DDR_SIGNALING	1:1	300	300	3.7219895464390627	3
DDR_SIGNALING	1:1	300	300	2.0053339173293745	4
DDR_SIGNALING	1:5	60	300	2.6167606045727254	0
DDR_SIGNALING	1:5	60	300	2.924861328238984	1
DDR_SIGNALING	1:5	60	300	2.7424631037214904	2
DDR_SIGNALING	1:5	60	300	3.1176415092957956	3
DDR_SIGNALING	1:5	60	300	1.8399527858264366	4
DDR_SIGNALING	1:20	15	300	2.3501416039850023	0
DDR_SIGNALING	1:20	15	300	2.026751921255271	1
DDR_SIGNALING	1:20	15	300	1.3036883443090461	2
DDR_SIGNALING	1:20	15	300	1.3453326649434438	3
DDR_SIGNALING	1:20	15	300	1.3149352715332194	4
