arm	subtype	prevalence	point_estimate_lr	lambda_used
CORE_HR	LumA	0.44225834046193324	5.550649739657111	30.0
CORE_HR	LumB	0.2476646706586826	5.96607616443366	30.0
CORE_HR	HER2E	0.11203877958368975	5.631351187325622	30.0
CORE_HR	Basal	0.18280011405759908	2.0873531310372484	30.0
CORE_HR	Normal-like	0.015238095238095238	6.3077685938772525	30.0
DDR_SIGNALING	LumA	0.44225834046193324	4.884898049369498	100.0
DDR_SIGNALING	LumB	0.2476646706586826	5.407139720039767	100.0
DDR_SIGNALING	HER2E	0.11203877958368975	5.188204241712827	100.0
DDR_SIGNALING	Basal	0.18280011405759908	3.6849994998074695	100.0
DDR_SIGNALING	Normal-like	0.015238095238095238	5.039909346369371	100.0
