quantity	injected	recovered	ci_low	ci_high	estimand_truth	estimand_recovered	relative_bias	status	scope_status	scope_reason	ci_contains_injected	predicted_bias_direction	predicted_bias_magnitude	directional_check	near_tier_boundary	reason
core_hr_wt_lost_direction_LR	4.194289038463922				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_gis_score_LR	2.3009847328960165				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_sbs3_exposure_LR	4.846995464036189				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_joint_LR	5.826333463989027	4.822998382715588	4.279653895853543	5.496457440366384	LR	LR	0.172207	SIMULATED_PASS	IN_SCOPE	newly reachable under PROPOSED_PROTOCOL_AMENDMENT.md's estimator (REACHABILITY_TABLE.tsv: NEWLY_REACHABLE) -- recovered by this production_v2 run as the PAM50-prevalence-weighted mixture estimand (matching SIMULATED_TRUTH.tsv's own pooled-quantity definition), CV-selected lambda, B=2000.	False	down	0.172207	PASS	REALIZED_DOWNGRADE	
core_hr_product_of_marginals_LR	46.77832919617137				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_joint_vs_marginal_inflation_ratio	0.12455197874972179				LR_RATIO			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_luma_wt_lost_direction_LR	4.480411981797967				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_luma_gis_score_LR	3.6622471084686548				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_luma_sbs3_exposure_LR	5.644994542233774				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
core_hr_luma_joint_LR	7.243192150573085				LR			BLOCKED	NOT_IN_SCOPE	out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.						out of scope for this task's production_v2 gate6 run, which recovers only the 2 pooled joint_LR quantities as a representative, tractable subset of the 24 quantities REACHABILITY_TABLE.tsv marks NEWLY_REACHABLE -- not a claim this quantity is unreachable, see REACHABILITY_TABLE.tsv for its actual classification.
